strain_name,latitude,longitude
Abioculata,33.2386,-119.4600
4088_S1,-37.78333,-110.91667
4088_S2,-37.78333,-110.91667
4093_S1,-31.85000,-112.03333
4093_S4,-31.85000,-112.03333
WP_141_S1,-20.05000,-176.13333
WP_140_S1,-20.05000,-176.13333
CR_4590D,9,-84
OR_30C7,44,-125
G04,27.00000,-111.40000
WP_150_S9,-16.98333,173.91667
WP_142,47.95000,-129.10000
JdF_1208,47.95000,-129.10000
Jdf_1258,44.65000 -130.25000
Aga2225_1,11,-104
Aga2224_1,0.78333,-86.11667
SEPR_21_I_COI,-21.41667,-114.28333 
Alutzi_A2,23.38333,-44.96667
