strain_name,latitude,longitude
RSAss57AD,-21.125,55.536
RSA001OB,-21.125,55.536
RSA004OB,-21.125,55.536
RSA011OB,-21.125,55.536
RSA017OB,-21.125,55.536
RSA018OB,-21.125,55.536
RSA019OB,-21.125,55.536
RSA030OB,-21.125,55.536
RSA037AD,-21.125,55.536
RSA038AD,-21.125,55.536
RSA039AD,-21.125,55.536
RSA040AD,-21.125,55.536
RSA041AD,-21.125,55.536
RSA042AD,-21.125,55.536
RSA043AD,-21.125,55.536
RSA044AD,-21.125,55.536
RSA045AD,-21.125,55.536
RSA046AD,-21.125,55.536
RSA047AD,-21.125,55.536
RSA048AD,-21.125,55.536
RSA049AD,-21.125,55.536
RSA050AD,-21.125,55.536
RSA051AD,-21.125,55.536
RSA052AD,-21.125,55.536
RSA053AD,-21.125,55.536
RSA054AD,-21.125,55.536
RSA055AD,-21.125,55.536
RSA056AD,-21.125,55.536
RSA059AD,-21.125,55.536
RSA060AP,-21.125,55.536
RSA061HC,-21.125,55.536
RSA062HC,-21.125,55.536
RSA063HC,-21.125,55.536
RSA064HC,-21.125,55.536
RSA065HC,-21.125,55.536
RSA066HC,-21.125,55.536
RSA067HC,-21.125,55.536
RSA068HC,-21.125,55.536
RSA069HC,-21.125,55.536
RSA070HC,-21.125,55.536
RSA071HC,-21.125,55.536
RSA072HC,-21.125,55.536
RSA073HC,-21.125,55.536
RSA074HC,-21.125,55.536
RSA075AM,-21.125,55.536
RSA076AM,-21.125,55.536
RSA077HO,-21.125,55.536
RSA078HO,-21.125,55.536
RSA079HO,-21.125,55.536
RSA080HO,-21.125,55.536
RSA081HO,-21.125,55.536
RSA082HO,-21.125,55.536
RSA083HO,-21.125,55.536
RSA084HO,-21.125,55.536
RSA085HO,-21.125,55.536
RSA086HO,-21.125,55.536
RSA087HO,-21.125,55.536
RSA088HO,-21.125,55.536
RSA089HO,-21.125,55.536
RSA090HO,-21.125,55.536
RSA091HO,-21.125,55.536
RSA092HO,-21.125,55.536
RSA093HO,-21.125,55.536
RSA094OB,-21.125,55.536
RSA095OB,-21.125,55.536
RSA096OB,-21.125,55.536
RSA097OB,-21.125,55.536
RSA098OB,-21.125,55.536
RSA100OB,-21.125,55.536
RSA101OB,-21.125,55.536
RSA102OB,-21.125,55.536
RSA103OB,-21.125,55.536
RSA104OB,-21.125,55.536
RSA105OB,-21.125,55.536
RSA106OB,-21.125,55.536
RSA107OB,-21.125,55.536
RSA108OB,-21.125,55.536
RSA109OB,-21.125,55.536
RSA110OB,-21.125,55.536
RSA111OB,-21.125,55.536
RSA112OB,-21.125,55.536
RSA113OB,-21.125,55.536
RSA114OB,-21.125,55.536
RSA115OB,-21.125,55.536
RSA116OB,-21.125,55.536
RSA117OB,-21.125,55.536
RSA118Ch,-21.125,55.536
RSA120HO,-21.125,55.536
RSAO58AD,-21.125,55.536
1Co35,4.946,-74.336
CostRica3,9.998,-84.105
CostRica7,9.973,-84.129
Pasa5Mex,19.079,-97.072
Ano1Mexi,18.281,-95.149
RS5134US,40.805,-81.935
JU482Jap,35.24,139.048
JU150Mad,-18.97,47.532
JU138Haw,19.496,-155.924
RS106Pol,53.843,22.979
PS312USA,34.147,-118.144
PS1843US,48.118,-123.43
RS5171Mo,42.431,18.711
JU723Chi,25.804,110.205
RS5200In,26.79,88.329
RS5160Ja,35.301,139.481
RS5131US,41.883,-70.763
RS5138US,40.263,-95.565
SB5880US,40.714,-74.005
RS5202So,-25.746,28.187
RS5221Ja,35.098,136.721
RS5219Ja,35.098,136.721
RS5220Ja,35.098,136.721
RS5180Ja,35.098,136.721
RS5182Ja,35.098,136.721
RS5183Ja,35.098,136.721
RS5184Ja,35.098,136.721
RS5194Ja,35.098,136.721
RS5195Ja,35.098,136.721
RS5196Ja,35.098,136.721
RS5197Ja,35.098,136.721
RS5198Ja,35.098,136.721
RS5222US,40.872,-73.457
RS5206Ja,35.098,136.721
RS5218Ja,35.098,136.721
RS5211Ja,35.098,136.721
RS5212Ja,35.098,136.721
RS5209Ja,35.098,136.721
RS5207Ja,35.098,136.721
RS5185Ja,35.098,136.721
RS51871,35.098,136.721
RS52151,35.098,136.721
RS52102,35.098,136.721
RS5213Ja,35.098,136.721
RS5217Ja,35.098,136.721
RS5181Ja,35.098,136.721
RS5188Ja,35.098,136.721
RS5189Ja,35.098,136.721
RS5186Ja,35.098,136.721
RS5190Ja,35.098,136.721
RS5191Ja,35.098,136.721
RS5192Ja,35.098,136.721
RS5193Ja,35.098,136.721
RS5208Ja,35.098,136.721
RS52153,35.098,136.721
RS5216Ja,35.098,136.721
RS51872,35.098,136.721
RS52101,35.098,136.721
RS5214Ja,35.098,136.721
SB5881US,35.888,-106.306
RS5201In,26.79,88.329
RS5264Bo,-17.632,-63.253
RS5265Bo,-17.632,-63.253
RS5266Bo,-17.632,-63.253
RS5270Bo,-17.632,-63.253
RS5271Bo,-17.632,-63.253
RS5279Ch,23.158,112.542
RS5269Bo,-17.632,-63.253
RS5272Bo,-17.632,-63.253
RS5273Bo,-17.632,-63.253
RS5274Bo,-17.632,-63.253
RS5275Bo,-17.632,-63.253
RS5276Bo,-17.632,-63.253
RS5277Bo,-17.632,-63.253
RS5278Bo,-17.632,-63.253
RS5294Sw,46.926,8.402
RS5295Sw,46.926,8.402
Ju1103Ja,35.705,139.749
JU1089Ja,35.684,139.752
RS5282Tu,36.76,31.421
Ju1102Ja,35.705,139.749
RS5203So,-25.746,28.187
RS5204So,-25.746,28.187
RS5205So,-25.746,28.187
RS5297US,34.138,-118.034
RS5296US,34.138,-118.034
RS5301Ba,-8.642,115.791
RS5302Ba,-8.642,115.791
RS5300US,34.138,-118.034
RS5355Re,-21.125,55.536
RS5353Re,-21.125,55.536
RS5334Re,-21.125,55.536
RS5333Re,-21.125,55.536
RS5354Re,-21.125,55.536
RS5347Re,-21.125,55.536
RS5351Re,-21.125,55.536
RS5346Re,-21.125,55.536
RS5350Re,-21.125,55.536
RS5349Re,-21.125,55.536
