strain_name,latitude,longitude,date
ACQ63272,37,-119,2009-04-27
ACS54265,35.15,135.92,2009-06-19
ACR49279,39,-75.67,2009-05-29
ACR43942,48.87,2.33,2009-05-12
ACR18925,38.67,-98,2009-04-28
ACR46673,62,10,2009-05-28
ACS16457,48.87,2.33,2009-06-08
ACQ89922,45,-63,2009-05-09
ACQ76335,38.67,-98,2009-05-06
ACR49274,34,-112,2009-05-29
ACR47003,35.95,137.28,2009-05-28
ACR08571,40,-75,2009-05-15
ACR33019,41.67,1.5,2009-05-19
ACR46663,62,10,2009-05-26
ACR49271,41.5,-100,2009-05-06
ACS27795,31.1,121.37,2009-06-11
ACQ76407,39,-105,2009-05-06
ACQ73395,23,-102,2009-05-05
ACQ63471,49.02,12.1,2009-04-29
ACR67256,39.92,116.43,2009-06-04
ACR19328,41.67,1.5,2009-05-19
ACR19324,41.67,1.5,2009-05-19
ACQ76359,34,-112,2009-05-06
ACR19322,41.67,1.5,2009-05-19
ACR08573,30,-100,2009-05-15
ACR46998,35,135,2009-05-28
ACR15618,54,-4.5,2009-05-18
ACR33020,41.67,1.5,2009-05-22
ACQ89891,37,127.5,2009-05-08
ACR78159,13,122,2009-06-05
ACS27771,54.54,36.27,2009-06-11
ACR46997,35,135,2009-05-28
ACQ99630,23,-102,2009-05-13
ACR32987,29.83,105,2009-05-22
ACR08568,35,-105,2009-05-15
ACQ99627,23,-102,2009-05-13
ACQ83396,59.5,18.3,2009-05-08
ACR09379,23,-102,2009-05-15
ACS54264,35.57,137.45,2009-06-19
ACR09381,23,-102,2009-05-15
ACR08577,39,-75.67,2009-05-15
ACQ76328,34,-80,2009-05-06
ACR49275,39,-105,2009-05-06
ACR49269,34,-80,2009-05-06
ACR49268,34,-112,2009-05-06
ACR18934,30,-100,2009-05-06
ACS71680,41.67,1.5,2009-06-23
ACR54052,23.13,113.33,2009-06-16
ACR08565,28,-82,2009-05-15
ACR49238,23.13,113.33,2009-06-16
ACP52564,37,-119,2009-04-27
ACR08569,39,-75.67,2009-05-15
ACR08462,43,-75,2009-05-14
ACR49280,45,-115,2009-05-29
ACR47002,35.95,137.28,2009-05-28
ACR33022,41.67,1.5,2009-05-19
ACR08488,41.67,1.5,2009-05-15
ACR54996,39.92,116.43,2009-05-24
ACQ59196,56,10,2009-05-04
ACP41947,30,-100,2009-04-27
ACR40311,43,-75,2009-05-26
ACR18924,30,-100,2009-05-06
ACS27192,43,-75,2009-06-11
ACQ63269,30,-100,2009-05-04
ACR47008,23,-102,2009-05-28
ACR49273,34,-112,2009-05-29
ACQ89919,23,-102,2009-05-09
ACQ76379,40,-86,2009-05-06
ACR19331,41.67,1.5,2009-05-19
ACP41952,37,-119,2009-04-27
ACS27222,43,-75,2009-06-11
ACQ83392,41.67,1.5,2009-05-08
ACQ99636,23,-102,2009-05-13
ACR08574,44,-71.67,2009-05-15
ACR33021,41.67,1.5,2009-05-22
ACQ76351,46,-94,2009-05-06
ACQ99629,23,-102,2009-05-13
ACR10237,35.77,140.33,2009-05-15
ACQ76322,30,-100,2009-05-06
ACQ99623,23,-102,2009-05-13
ACR50990,48.87,2.33,2009-05-12
ACS34969,34.83,134.67,2009-06-15
ACR49278,39,-105,2009-05-29
ACR10227,53.58,10,2009-05-17
ACR56393,43,-75,2009-06-02
ACR19325,41.67,1.5,2009-05-19
ACR08572,40,-75,2009-05-15
ACQ84460,43,-75,2009-05-08
ACQ99628,23,-102,2009-05-13
ACR09382,23,-102,2009-05-13
ACQ83309,30,-100,2009-05-07
ACQ99626,23,-102,2009-05-13
ACR10215,41.67,1.5,2009-05-17
ACR19326,41.67,1.5,2009-05-19
ACR15745,38.73,-9.13,2009-05-18
ACS34970,36.17,136.23,2009-06-15
ACQ76391,41.5,-100,2009-05-06
ACQ45339,52.5,5.75,2009-04-30
ACP41931,37,-119,2009-04-27
ACQ89918,45,-63,2009-05-09
ACR09378,23,-102,2009-05-13
ACR01016,50.73,-1.75,2009-05-07
ACR08566,35.5,-85,2009-05-15
ACQ83391,41.67,1.5,2009-05-08
ACR19330,41.67,1.5,2009-05-19
ACR46995,34.70,135.38,2009-05-28
ACR50994,23,-102,2009-05-13
