"strain_name,latitude,longitude"
"MC_001,13.479742,-86.57500"
"MC_002,12.502761,-86.655694"
"MC_009,13.479742,-86.57500"
"MC_010,13.479742,-86.57500"
"MC_011,13.479742,-86.57500"
"MC_012,13.479742,-86.57500"
"MC_018,11.722881,-86.214956"
"MC_030,11.722881,-86.214956"
"MC_038,11.722881,-86.214956"
"MC_039,11.722881,-86.214956"
"MC_041,13.479742,-86.57500"
"MC_042,13.479742,-86.575006"
"MC_043,13.479742,-86.575006"
"MC_048,13.479742,-86.57500"
"MC_049,13.560925,-86.492833"
"MC_050,13.560925,-86.492833"
"MC_054,13.560925,-86.492833"
"MC_058,11.722881,-86.214956"
"MC_066,13.560925,-86.492833"
"MC_069,13.560925,-86.492833"
"MC_075,13.479742,-86.57500"
