"strain_name,latitude,longitude"
76K1_1,49.0667,2.4500
76K1_3,49.0667,2.4500
76K2_1,49.0667,2.4500
76K2_2,49.0667,2.4500
76K3_1,49.0667,2.4500
76K3_2,49.0667,2.4500
76K3_3,49.0667,2.4500
BEV1_2,51.5000,-0.0833
BEV1_1,51.5000,-0.0833
BEV2_2,51.5000,-0.0833
BEV2_4,51.5000,-0.0833
BEV3_2,51.5000,-0.0833
DAG1B,40.6667,-73.8667
DAG1_1_today,40.6667,-73.8667
DAG1_2,40.6667,-73.8667
DAG1_3,40.6667,-73.8667
DAG1_4today,40.6667,-73.8667
DAG2A,40.6667,-73.8667
DAG2B,40.6667,-73.8667
DAG2_1today,40.6667,-73.8667
DAG2_2today,40.6667,-73.8667
DAG2_3today,40.6667,-73.8667
OH31_1,40.6667, -73.8667
SOU1_1,40.6667,-73.8667
SOU1_2,40.6667,-73.8667
SOU1_3,40.6667,-73.8667
SOU2_1,40.6667,-73.8667
SOU2_3,40.6667,-73.8667
SOU3_1,40.6667,-73.8667
SOU3_2,40.6667,-73.8667
SOU3_3,40.6667,-73.8667
type3ROP5A,40.6667,-73.8667
type3ROP5C,40.6667,-73.8667
type3ROP5E,40.6667,-73.8667

