strain_name,latitude,longitude,date
taxid381534,50,-86,2005-01-01
taxid381529,50,-86,2005-01-01
taxid496427,50,-86,2007-01-01
taxid358577,50,-86,2003-01-01
taxid381530,55,-115,2005-01-01
taxid381531,55,-125,2005-01-01
taxid381532,55,-97,2005-01-01
taxid381533,50,-86,2005-01-01
taxid443179,24,109,2006-01-01
taxid568225,31.2,121.44,2007-03-24
taxid301962,46,-94,2003-01-01
taxid538543,37,127.5,2004-01-01
taxid538547,37,127.5,2005-01-01
taxid205005,37,127.5,2002-01-01
taxid388536,37,127.5,2005-01-01
taxid388537,37,127.5,2005-01-01
taxid481465,37,127.5,2005-01-01
taxid538542,37,127.5,2006-01-01
taxid538555,37,127.5,2004-01-01
taxid538556,37,127.5,2005-01-01
taxid538557,37,127.5,2005-01-01
taxid538558,37,127.5,2005-01-01
taxid538559,37,127.5,2006-01-01
taxid538560,37,127.5,2006-01-01
taxid538561,37,127.5,2006-01-01
taxid402055,37,127.5,2006-01-01
taxid402056,37,127.5,2006-01-01
taxid497380,37,127.5,2004-01-01
taxid538544,37,127.5,2005-01-01
taxid538545,37,127.5,2004-01-01
taxid538546,37,127.5,2005-01-01
taxid538548,37,127.5,2006-01-01
taxid538549,37,127.5,2007-01-01
taxid538550,37,127.5,2007-01-01
taxid538551,37,127.5,2007-01-01
taxid538553,37,127.5,2007-01-01
taxid538554,37,127.5,2007-01-01
taxid574548,37,127.5,2008-02-01
taxid165420,38,-98,1999-01-01
taxid222774,35.5,-80,2001-01-01
taxid301961,35.5,-80,2003-01-01
taxid442958,40,-89,2004-01-01
taxid526549,35.5,-80,2005-01-01
taxid533026,40,-80.83,2004-01-01
taxid539947,45,-100,2007-09-19
taxid539948,45,-100,2007-09-19
taxid539949,45,-100,2007-09-19
taxid542945,39,35,2005-01-01
taxid547366,45,-100,2007-09-19
taxid157642,45,-90,1998-01-01
taxid398800,42.93,-93,2005-01-01
taxid641501,37,-119,2009-04-01
taxid641807,37,-119,2009-03-30
taxid641808,37,-119,2009-04-16
taxid641809,37,-119,2009-04-09
taxid641811,30,-100,2009-04-14
taxid515581,40,-80.83,2007-01-01
taxid515582,40,-80.83,2004-01-01
taxid515583,40,-80.83,2006-01-01
taxid556272,40,-80.83,2007-01-01
taxid569203,46,-94,2007-01-01
taxid569204,46,-94,2007-01-01
taxid569205,40,-89,2007-7-31
taxid569206,46,-94,2006-8-15
taxid128982,40,-86,1999-01-01
taxid177117,46,-94,2000-01-01
taxid177118,46,-94,2000-01-01
taxid177119,35.5,-80,1999-01-01
taxid177121,40,-86,2001-01-01
taxid177122,40,-86,2001-01-01
taxid177123,46,-94,2001-01-01
taxid177124,46,-94,2001-01-01
taxid177125,38,-98,2001-01-01
taxid177126,35,-93,2000-01-01
taxid177127,35.5,-80,2001-01-01
taxid177128,46,-94,2000-01-01
taxid177129,38.67,-98,2000-01-01
taxid177130,39,-105,2001-01-01
taxid177131,38.67,-98,2000-01-01
taxid177132,41.5,-100,2001-01-01
taxid177133,40,-80.83,2000-01-01
taxid177134,46,-94,2001-01-01
taxid177135,46,-94,2001-01-01
taxid177136,41.5,-100,2001-01-01
taxid177137,46,-94,2001-01-01
taxid177138,46,-94,2001-01-01
taxid177139,46,-94,2001-01-01
taxid177140,46,-94,2001-01-01
taxid177188,46,-94,2000-01-01
taxid187161,40,-80.83,2001-01-01
taxid187162,35.5,-80,2001-01-01
taxid187163,35.5,-80,2001-01-01
taxid187164,46,-94,2000-01-01
taxid187166,40,-86,2000-01-01
taxid187167,40,-89,2001-01-01
taxid187168,40,-89,2001-01-01
taxid187171,42.93,-93,2001-01-01
taxid489926,38,-98,2006-01-01
taxid489927,38,-98,2006-01-01
taxid345296,44,-85,2004-01-01
taxid345297,40,-86,2004-01-01
taxid345582,46,-94,2004-01-01
taxid101752,46,-94,1998-01-01
taxid133773,42.93,-93,1999-01-01
taxid133774,42.93,-93,1999-01-01
taxid133775,46,-94,1999-01-01
taxid133776,41.5,-100,1998-01-01
taxid136469,35,-98,1999-01-01
taxid136470,40,-89,1999-01-01
taxid136471,35,-98,1999-01-01
taxid136472,45,-90,1999-01-01
taxid136473,35.5,-80,1999-01-01
taxid136474,39,-105,1999-01-01
taxid136487,30,-100,1998-01-01
taxid442957,35.5,-80,2003-01-01
taxid569227,46,-94,2006-10-12
taxid569228,46,-94,2007-01-19
taxid569230,46,-94,2007-06-11
taxid569231,46,-94,2005-08-18
taxid101751,42,-93,1998-01-01
