strain_name,latitude,longitude,date
taxid650343,-23.55,-46.64,2009-04-29
taxid641807,39.76,-98.50,2009-03-30
taxid643959,39.76,-98.50,2009-04-26
taxid644641,39.76,-98.50,2009-04-27
taxid644643,39.76,-98.50,2009-04-27
taxid644645,39.76,-98.50,2009-04-27
taxid644646,39.76,-98.50,2009-04-29
taxid645724,22.28,114.15,2009-04-30
taxid648109,35.69,139.75,2009-05-01
taxid648110,35.69,139.75,2009-05-01
taxid649634,22.25,114.18,2004-09-14
taxid651095,39.76,-98.50,2009-05-06
taxid651097,39.76,-98.50,2009-05-06
taxid653886,51.50,10.50,2009-05-01
taxid653947,-30.00,-71.00,2009-06-11
taxid654419,35.00,105.00,2009-05-28
taxid655292,39.76,-98.50,2009-05-11
taxid655294,39.76,-98.50,2009-05-16
taxid655297,39.76,-98.50,2009-05-13
taxid655298,39.76,-98.50,2009-05-14
taxid655984,35.69,139.75,2009-06-07
taxid656890,35.00,105.00,2009-06-06
taxid657077,22.28,114.15,2009-06-11
taxid658032,51.50,10.50,2009-04-29
taxid658033,51.50,10.50,2009-05-02
taxid658034,51.50,10.50,2009-05-04
taxid658113,-10.00,-55.00,2009-05-27
taxid658114,-10.00,-55.00,2009-05-28
taxid658115,-10.00,-55.00,2009-06-05
taxid658179,60.00,100.00,2009-05-21
taxid658180,60.00,100.00,2009-05-26
taxid658205,52.28,-117.47,2009-05-03
taxid658207,52.28,-117.47,2009-05-03
taxid658208,52.28,-117.47,2009-05-05
taxid658210,52.28,-117.47,2009-05-03
taxid658211,52.28,-117.47,2009-05-03
taxid658213,52.28,-117.47,2009-05-03
taxid658214,52.28,-117.47,2009-05-05
taxid659132,39.76,-98.50,2009-05-01
taxid659134,39.76,-98.50,2009-04-30
taxid659135,39.76,-98.50,2009-05-01
taxid659136,39.76,-98.50,2009-05-29
taxid659139,39.76,-98.50,2009-05-04
taxid659140,39.76,-98.50,2009-04-25
taxid659141,39.76,-98.50,2009-05-18
taxid659143,39.76,-98.50,2009-04-29
taxid659145,39.76,-98.50,2009-04-30
taxid659146,39.76,-98.50,2009-04-25
taxid659147,39.76,-98.50,2009-05-22
taxid659148,39.76,-98.50,2009-05-31
taxid659149,39.76,-98.50,2009-05-06
taxid659151,39.76,-98.50,2009-04-30
taxid659474,39.76,-98.50,2009-05-11
taxid659485,39.76,-98.50,2009-05-25
taxid659488,39.76,-98.50,2009-05-11
taxid662554,-10.00,-55.00,2009-05-20
taxid662555,-10.00,-55.00,2009-05-29
taxid662556,-10.00,-55.00,2009-05-29
taxid662557,-10.00,-55.00,2009-05-29
taxid662558,-10.00,-55.00,2009-07-03
EPI176470,35.37,-119.02,2009-04-01
EPI176499,35.37,-119.02,2009-04-16
EPI176504,35.37,-119.02,2009-04-09
EPI176514,30.27,-97.74,2009-04-14
EPI176515,30.27,-97.74,2009-04-15
EPI176587,23.00,-102.00,2009-04-14
EPI176604,23.00,-102.00,2009-04-19
EPI176620,35.37,-119.02,2009-04-09
EPI176634,35.37,-119.02,2009-04-08
EPI176640,40.71,-74.01,2009-05-01
EPI177276,-36.85,174.78,2009-04-25
EPI177282,35.37,-119.02,2009-04-09
EPI177283,23.00,-102.00,2009-04-14
EPI177285,23.00,-102.00,2009-04-14
EPI177288,23.00,-102.00,2009-04-02
EPI177290,51.92,4.48,2009-04-29
EPI177294,35.37,-119.02,2009-04-09
EPI177300,30.27,-97.74,2009-04-14
EPI177315,23.00,-102.00,2009-04-07
EPI177335,23.00,-102.00,2009-04-02
EPI177347,23.00,-102.00,2009-04-14
EPI177350,23.00,-102.00,2009-04-14
EPI177357,23.00,-102.00,2009-04-19
EPI177363,23.00,-102.00,2009-04-19
EPI177367,40.25,-83.00,2009-04-24
EPI177378,40.71,-74.01,2009-04-01
EPI177385,40.71,-74.01,2009-04-01
EPI177391,40.71,-74.01,2009-04-01
EPI177400,40.71,-74.01,2009-04-01
EPI177408,40.71,-74.01,2009-04-01
EPI177415,40.71,-74.01,2009-04-24
EPI177419,40.71,-74.01,2009-04-24
EPI177424,30.27,-97.74,2009-04-23
EPI177659,-36.85,174.78,2009-04-24
EPI177661,-36.85,174.78,2009-04-25
EPI177866,52.50,5.75,2009-05-01
EPI177948,56.00,10.00,2009-04-29
EPI178280,60.00,-96.00,2009-04-24
EPI178281,23.00,-102.00,2009-04-14
EPI178282,60.00,-96.00,2009-04-24
EPI178353,40.71,-74.01,2009-04-25
EPI178357,40.71,-74.01,2009-04-24
EPI178363,30.27,-97.74,2009-04-25
EPI178368,30.27,-97.74,2009-04-24
EPI178375,30.27,-97.74,2009-04-25
EPI178383,35.37,-119.02,2009-04-25
EPI178391,40.00,-86.25,2009-04-22
EPI178397,34.50,-111.50,2009-04-22
EPI178402,44.25,-85.50,2009-04-26
EPI178414,34.00,-81.00,2009-04-26
EPI178419,34.50,-111.50,2009-04-26
EPI178425,39.11,-94.63,2009-04-24
EPI178428,23.00,-102.00,2009-04-19
EPI178432,40.25,-83.00,2009-04-24
EPI178435,40.71,-74.01,2009-04-25
EPI178439,40.71,-74.01,2009-04-25
EPI178442,42.37,-71.11,2009-04-26
EPI178445,42.37,-71.11,2009-04-25
EPI178451,38.83,-104.82,2009-04-27
EPI178454,39.11,-94.63,2009-04-24
EPI178457,35.37,-119.02,2009-04-01
EPI178468,40.63,-8.65,2009-04-01
EPI178472,-36.85,174.78,2009-04-01
EPI178476,31.50,34.75,2009-04-01
EPI178487,30.27,-97.74,2009-04-15
EPI178507,54.00,-4.00,2009-04-28
EPI178514,-43.50,171.50,2009-04-29
EPI178942,37.00,127.50,2009-05-02
EPI178984,40.71,-74.01,2009-04-27
EPI178998,45.00,-63.00,2009-05-01
EPI178999,49.25,-84.50,2009-05-01
EPI179000,49.25,-84.50,2009-05-01
EPI179001,23.00,-102.00,2009-05-01
EPI179002,60.00,-96.00,2009-05-01
EPI179003,45.00,-63.00,2009-05-01
EPI179066,13.75,100.50,2009-05-07
EPI179071,-27.47,153.03,2009-05-07
EPI179074,13.83,-88.92,2009-04-26
EPI179080,23.00,-102.00,2009-04-02
EPI179083,23.00,-102.00,2009-04-02
EPI179087,23.00,-102.00,2009-04-13
EPI179089,23.00,-102.00,2009-04-15
EPI179092,23.00,-102.00,2009-04-14
EPI179094,23.00,-102.00,2009-04-14
EPI179098,23.00,-102.00,2009-04-17
EPI179100,23.00,-102.00,2009-04-20
EPI179102,23.00,-102.00,2009-04-20
EPI179104,23.00,-102.00,2009-04-20
EPI179109,23.00,-102.00,2009-04-20
EPI179110,23.00,-102.00,2009-04-20
EPI179111,23.00,-102.00,2009-04-20
EPI179113,35.08,-106.65,2009-04-26
EPI179117,35.37,-119.02,2009-04-24
EPI179118,39.00,-75.50,2009-04-28
EPI179121,39.00,-75.50,2009-04-28
EPI179124,28.75,-82.50,2009-04-27
EPI179134,39.00,-76.75,2009-04-29
EPI179139,41.50,-99.75,2009-04-27
EPI179144,43.00,-71.45,2009-04-28
EPI179147,40.17,-74.50,2009-04-01
EPI179150,40.17,-74.50,2009-04-01
EPI179154,40.71,-74.01,2009-04-01
EPI179155,40.71,-74.01,2009-04-01
EPI179156,40.71,-74.01,2009-04-25
EPI179158,40.71,-74.01,2009-04-25
EPI179168,40.71,-74.01,2009-04-24
EPI179170,40.71,-74.01,2009-04-01
EPI179171,40.71,-74.01,2009-04-25
EPI179172,40.71,-74.01,2009-04-25
EPI179173,40.71,-74.01,2009-04-25
EPI179174,40.71,-74.01,2009-04-25
EPI179175,35.50,-80.00,2009-04-28
EPI179182,35.75,-86.25,2009-04-28
EPI179189,30.27,-97.74,2009-04-26
EPI179195,30.27,-97.74,2009-04-27
EPI179200,36.85,-75.98,2009-04-27
EPI179205,38.90,-77.04,2009-04-28
EPI179209,44.50,-90.00,2009-04-27
EPI179215,23.00,-102.00,2009-04-14
EPI179219,40.17,-74.50,2009-04-01
EPI179222,40.71,-74.01,2009-04-25
EPI179223,35.37,-119.02,2009-04-22
EPI179224,35.37,-119.02,2009-04-21
EPI179229,-36.85,174.78,2009-04-25
EPI179237,30.50,102.50,2009-05-10
EPI179251,39.00,-75.50,2009-04-28
EPI179257,13.83,-88.92,2009-04-27
EPI179262,42.00,-93.50,2009-04-24
EPI179268,39.11,-94.63,2009-04-24
EPI179279,40.71,-74.01,2009-04-25
EPI179284,40.71,-74.01,2009-04-25
EPI179286,40.71,-74.01,2009-04-25
EPI179291,40.71,-74.01,2009-04-01
EPI179301,40.71,-74.01,2009-04-24
EPI179304,40.71,-74.01,2009-04-24
EPI179305,40.71,-74.01,2009-04-01
EPI179307,40.71,-74.01,2009-04-01
EPI179311,35.50,-80.00,2009-04-28
EPI179320,30.27,-97.74,2009-04-24
EPI179322,30.27,-97.74,2009-04-25
EPI179324,30.27,-97.74,2009-04-26
EPI179327,38.90,-77.04,2009-04-28
EPI179330,38.90,-77.04,2009-04-26
EPI179332,38.90,-77.04,2009-07-02
EPI179364,13.75,100.50,2009-05-04
EPI179379,13.75,100.50,2009-05-05
EPI179384,52.28,-117.47,2009-07-02
EPI179390,40.87,-72.80,2009-04-27
EPI179406,42.25,-79.40,2009-04-27
EPI179422,40.87,-72.80,2009-05-01
EPI179437,35.78,140.32,2009-05-08
EPI179489,49.00,11.50,2009-05-01
EPI179490,53.55,10.00,2009-05-01
EPI179499,49.50,12.00,2009-04-29
EPI179509,38.90,-77.04,2009-04-29
EPI179510,38.90,-77.04,2009-04-27
EPI179514,32.75,-83.50,2009-04-27
EPI179530,46.25,-94.25,2009-04-01
EPI179551,40.71,-74.01,2009-04-24
EPI179560,35.47,-97.52,2009-04-29
EPI179561,44.00,-120.50,2009-04-29
EPI179562,44.00,-120.50,2009-04-28
EPI179568,30.27,-97.74,2009-04-24
EPI179574,44.50,-90.00,2009-04-27
EPI179581,-30.00,-71.00,2009-05-18
EPI179585,-33.43,-70.57,2009-05-17
EPI179587,-30.00,-71.00,2009-05-18
EPI179593,36.19,117.12,2009-05-10
EPI179603,-36.85,174.78,2009-04-25
EPI180049,49.02,12.10,2009-05-01
EPI180050,53.55,10.00,2009-05-01
EPI180056,15.00,100.00,2009-05-06
EPI180067,35.75,-86.25,2009-05-01
EPI180217,30.50,102.50,2009-05-10
EPI180235,64.00,26.00,2009-05-10
EPI180257,39.91,116.40,2009-05-15
EPI180270,36.19,117.12,2009-05-10
EPI180345,59.91,10.74,2009-05-07
EPI180362,40.71,-74.01,2009-05-01
EPI180370,40.71,-74.01,2009-05-01
EPI180378,40.70,-73.80,2009-05-01
EPI180386,40.71,-74.01,2009-04-28
EPI180394,40.70,-73.80,2009-04-25
EPI180426,40.70,-73.80,2009-05-01
EPI180442,40.70,-73.80,2009-04-28
EPI180450,40.70,-73.80,2009-04-28
EPI180458,40.70,-73.80,2009-04-28
EPI180466,40.70,-73.80,2009-05-01
EPI180490,40.75,-73.58,2009-05-01
