strain_name,latitude,longitude
NABESNA,63.00,-141.00
TAREUMIUT,71.00,-157.00
COPPERESK,69.00,-110.00
KASKA,59.00,-128.00
NASKAPI,58.00,-70.00
NUNIVAK,60.00,-166.00
ATTAWAPIS,53.00,-83.00
INGALIK,62.00,-160.00
ALEUT,54.00,-167.00
CHUGACH,60.00,-147.00
SIVOKAKME,63.00,-170.00
NUNAMIUT,68.00,-152.00
BAFFINLAN,65.00,-65.00
POLARESKI,78.00,-70.00
DOGRIB,63.00,-117.00
SATUDENE,65.00,-119.00
SLAVE,61.00,-120.00
CHILCOTIN2,52.00,-132.00
CARRIER,54.00,-124.00
KUTCHIN,66.00,-135.00
CARIBOUES,63.00,-96.00
IGLULIK,70.00,-82.00
LABRADORE,58.00,-65.00
ANGMAGSAL,66.00,-37.00
GREENLAND,69.00,-53.00
TANAINA,62.00,-144.00
TAHLTAN,58.00,-131.00
SEKANI,56.00,-123.00
BEAVER,58.00,-117.00
CHIPEWYAN,60.00,-105.00
E_CREE,51.00,-85.00
MONTAGNAI,48.00,-72.00
N_SAULTEA,52.00,-98.00
PEKANGEKU,52.00,-94.00
NIPIGON,50.00,-88.00
CHIPPEWA,49.00,-96.00
RAINYRIVE,49.00,-92.00
KATIKITEG,46.00,-92.00
E_OJIBWA,46.00,-85.00
OTTAWA,46.00,-82.00
MICMAC,47.00,-65.00
POTAWATOM,44.00,-85.00
NETSILIK,69.00,-96.00
TAQAGMIUT,62.00,-76.00
MISTASSIN,52.00,-72.00
HAIDA,54.00,-132.00
TWANA,48.00,-123.00
KWAKIUTL,51.00,-128.00
YUROK,41.00,-124.00
EYAK,60.00,-145.00
TOLOWA,42.00,-124.00
TSIMSHIAN,55.00,-130.00
HAISLA,54.00,-129.00
BELLACOOL,52.00,-127.00
ALKATCHO,53.00,-126.00
NOOTKA,49.00,-126.00
KLAHUSE,51.00,-125.00
SQUAMISH,50.00,-123.00
COMOX,50.00,-125.00
LUMMI,49.00,-123.00
KLALLAM,48.00,-123.00
PUYALLUP,47.00,-122.00
QUILEUTE,48.00,-125.00
CHINOOK,46.00,-124.00
TILLAMOOK,45.00,-124.00
COOS,43.00,-124.00
TLINGIT,58.00,-134.00
BELLABELL,52.00,-128.00
MAKAH,48.00,-125.00
QUINAULT,47.00,-124.00
COWICHAN,49.00,-123.00
STALO,49.00,-122.00
ALSEA,44.00,-124.00
SIUSLAW,44.00,-124.00
TAKELMA,42.00,-123.00
TUTUTNI,42.00,-124.00
SHASTA,41.00,-122.00
CHIMARIKO,41.00,-123.00
KAROK,42.00,-123.00
HUPA,41.00,-123.00
WIYOT,40.00,-124.00
LASSIK,40.00,-123.00
MATTOLE,40.00,-124.00
SINKYONE,40.00,-124.00
NOMLAKI,39.00,-122.00
TUBATULAB,39.00,-118.00
YOKUTS,36.00,-120.00
ATSUGEWI,41.00,-121.00
MIWOK,38.00,-120.00
DIEGUENO,32.00,-116.00
YUKI,40.00,-123.00
KLAMATH,43.00,-122.00
MODOC,42.00,-122.00
ACHOMAWI,41.00,-121.00
YANA,41.00,-122.00
MAIDU,40.00,-121.00
NISENAN,39.00,-121.00
WINTU,41.00,-122.00
COASTYUKI,39.00,-124.00
HUCHNOM,39.00,-123.00
N_POMO,39.00,-123.00
E_POMO,39.00,-123.00
S_POMO,38.00,-123.00
WAPPO,38.00,-123.00
LAKEMIWOK,38.00,-123.00
PATWIN,39.00,-122.00
MONACHI,37.00,-119.00
LAKEYOKUT,36.00,-120.00
WUKCHUMNI,36.00,-119.00
SALINAN,36.00,-121.00
KAWAIISU,35.00,-118.00
CHUMASH,34.00,-120.00
GABRIELIN,34.00,-118.00
SERRANO,34.00,-117.00
