strain_name,latitude,longitude,date
AB037250,25.039868,121.511879,1998-07-08
AB037251,25.039868,121.511879,1998-07-08
AB037252,25.039868,121.511879,1998-07-08
AB037253,25.039868,121.511879,1998-07-08
AB037254,25.039868,121.511879,1998-07-08
AB037255,25.039868,121.511879,1998-07-08
AB037256,25.039868,121.511879,1998-07-08
AB037257,25.039868,121.511879,1998-07-08
AB037258,25.039868,121.511879,1998-07-08
AB037259,25.039868,121.511879,1998-07-08
AB037260,25.039868,121.511879,1998-07-08
AB037261,25.039868,121.511879,1998-07-08
AB037262,25.039868,121.511879,1998-07-08
AB037263,25.039868,121.511879,1998-07-08
AB037264,25.039868,121.511879,1998-07-08
AB037265,25.039868,121.511879,1998-07-08
AB037266,25.039868,121.511879,1998-07-08
AB037267,25.039868,121.511879,1986-07-08
AB037268,25.039868,121.511879,1986-07-08
AB046739,25.039868,121.511879,1998-07-08
AB046740,25.039868,121.511879,1998-07-08
AB051301,35.1036,136.5439,1973-07-08
AB051302,42.694454,23.333102,1975-07-08
AB051303,47.507023,19.045591,1978-07-08
AB051304,25.039868,121.511879,1973-07-08
AB051305,35.3945,138.3404,1978-07-08
AB051306,25.039868,121.511879,1998-07-08
AB051307,25.039868,121.511879,1998-07-08
AB051308,25.039868,121.511879,1998-07-08
AB051309,25.039868,121.511879,1998-07-08
AB051310,25.039868,121.511879,1998-07-08
AB051311,25.039868,121.511879,1998-07-08
AB051312,25.039868,121.511879,1998-07-08
AB051313,25.039868,121.511879,1998-07-08
AB051314,25.039868,121.511879,1998-07-08
AB051315,25.039868,121.511879,1998-07-08
AB051316,25.039868,121.511879,1998-07-08
AB051317,25.039868,121.511879,1998-07-08
AB051318,25.039868,121.511879,1998-07-08
AB051319,35.2638,139.3817,1997-07-08
AB051320,35.2638,139.3817,1997-07-08
AB051321,35.2638,139.3817,1997-07-08
AB051322,35.2638,139.3817,1997-07-08
AB051323,35.2638,139.3817,1997-07-08
AB051324,35.2638,139.3817,1997-07-08
AB051325,35.2638,139.3817,1997-07-08
AB051326,35.2638,139.3817,1997-07-08
AB051327,35.2638,139.3817,1997-07-08
AB051328,35.2638,139.3817,1997-07-08
AB051329,35.2638,139.3817,1997-07-08
AB051330,35.0022,135.5529,1997-07-08
AB051331,3.1328934,101.696,1997-07-08
AB051332,3.1328934,101.696,1997-07-08
AB051333,3.1328934,101.696,1997-07-08
AB051334,3.1328934,101.696,1997-07-08
AB051335,3.1328934,101.696,1997-07-08
AB053288,35.2638,139.3817,1997-07-08
AB053289,35.1036,136.5439,1989-07-08
AB053290,35.1036,136.5439,1970-07-08
AB061512,35.1036,136.5439,1990-07-08
AB081342,35.2638,139.3817,1982-07-08
AB081343,35.2638,139.3817,1983-07-08
AB081344,35.2638,139.3817,1983-07-08
AB081345,35.2638,139.3817,1983-07-08
AB081346,35.2638,139.3817,1983-07-08
AB081347,35.2638,139.3817,1984-07-08
AB081348,35.2638,139.3817,1986-07-08
AB081349,35.2638,139.3817,1986-07-08
AB081350,35.2638,139.3817,1986-07-08
AB081351,35.2638,139.3817,1986-07-08
AB081352,35.2638,139.3817,1986-07-08
AB081353,35.2638,139.3817,1986-07-08
AB081354,35.2638,139.3817,1986-07-08
AB081355,35.2638,139.3817,1986-07-08
AB081356,35.2638,139.3817,1986-07-08
AB081357,35.2638,139.3817,1986-07-08
AB081358,35.2638,139.3817,1986-07-08
AB081359,35.2638,139.3817,1986-07-08
AB081360,35.2638,139.3817,1986-07-08
AB081361,35.2638,139.3817,1986-07-08
AB081362,35.2638,139.3817,1986-07-08
AB081363,35.2638,139.3817,1986-07-08
AB081364,35.2638,139.3817,1988-07-08
AB081365,35.2638,139.3817,1989-07-08
AB081366,35.2638,139.3817,1989-07-08
AB081367,35.2638,139.3817,1990-07-08
AB081368,35.2638,139.3817,1990-07-08
AB081369,35.2638,139.3817,1993-07-08
AB081370,35.2638,139.3817,1993-07-08
AB081371,35.2638,139.3817,1994-07-08
AB081372,35.2638,139.3817,1994-07-08
AB081373,35.2638,139.3817,1994-07-08
AB081374,35.2638,139.3817,1995-07-08
AB081375,35.2638,139.3817,1997-07-08
AB081376,35.2638,139.3817,1997-07-08
AB081377,35.2638,139.3817,1997-07-08
AB081378,35.2638,139.3817,1997-07-08
AB081379,35.2638,139.3817,1997-07-08
AB081380,35.2638,139.3817,1997-07-08
AB081381,35.2638,139.3817,1997-07-08
AB081382,35.2638,139.3817,1997-07-08
AB081383,35.2638,139.3817,1997-07-08
AB081384,35.2638,139.3817,1997-07-08
AB081385,35.2638,139.3817,2000-07-08
AB081386,35.2638,139.3817,2000-07-08
AB081387,35.2638,139.3817,2000-07-08
AB081388,35.2638,139.3817,2000-07-08
AB081389,35.2638,139.3817,2000-07-08
AB081390,35.2638,139.3817,2000-07-08
AB081391,35.2638,139.3817,2000-07-08
AB081392,35.2638,139.3817,2000-07-08
AB081393,35.2638,139.3817,2000-07-08
AB081394,33.5008,132.4558,1973-07-08
AB081395,33.5008,132.4558,1973-07-08
AB081396,33.5008,132.4558,1973-07-08
AB081397,33.5008,132.4558,1978-07-08
AB081398,33.5008,132.4558,1978-07-08
AB081399,33.5008,132.4558,1978-07-08
AB081400,33.5008,132.4558,1978-07-08
AB081401,33.5008,132.4558,1978-07-08
AB081402,33.5008,132.4558,1978-07-08
AB126217,35.2638,139.3817,2003-07-08
AB162762,35.2638,139.3817,2003-07-08
AB162763,35.2638,139.3817,2003-07-08
AB162764,35.2638,139.3817,2003-07-08
AB183004,34.4124,135.1138,2003-07-08
AB183005,34.4124,135.1138,2000-07-08
AB183006,34.4124,135.1138,2000-07-08
AB183007,34.4124,135.1138,2000-07-08
AB183008,34.4124,135.1138,2000-07-08
AB183009,34.4124,135.1138,2000-07-08
AB183010,34.4124,135.1138,2000-07-08
AB204852,38.897159,-77.036207,1970-07-08
AB204853,38.897159,-77.036207,1970-07-08
AB238695,34.4124,135.1138,2003-07-08
AB247285,37.4539,140.2825,1983-07-08
AB247286,37.4539,140.2825,1984-07-08
AB247287,37.4539,140.2825,1985-07-08
AB247288,37.4539,140.2825,1993-07-08
AB247289,37.4539,140.2825,1989-07-08
AB247290,37.4539,140.2825,1996-07-08
AB247291,37.4539,140.2825,2003-07-08
AB247292,37.4539,140.2825,2000-07-08
AB247293,37.4539,140.2825,2000-07-08
AB247294,37.4539,140.2825,2003-07-08
AB247295,37.4539,140.2825,2003-07-08
AB247296,37.4539,140.2825,2003-07-08
AB247297,37.4539,140.2825,1993-07-08
