strain_name,latitude,longitude,date
Northern_Paiute,42,-118,2011-7-31
Western_Mono,37,-119,2011-7-31
Tumpisa_Shoshone_Panamint_Koso,37,-117,2011-7-31
Big_Smokey_Valley_Shoshone,38,-117,2011-7-31
Western_Shoshone,40,-115,2011-7-31
Shoshone,40.23,-112.44,2011-7-31
Comanche,33,-102,2011-7-31
Kawaiisu,36,-117.3,2011-7-31
Chemehuevi,34.2,-115.1,2011-7-31
Southern_Paiute,37.5,-113.2,2011-7-31
Southern_Ute,38,-109,2011-7-31
Orayvi_Hopi,36,-111,2011-7-31
Pahkannil_Tubatulabal,36,-118.2,2011-7-31
Kitanemuk,34.5,-118.32,2011-7-31
Serrano,34.3,-117,2011-7-31
Tongva_Gabrielino,34,-118,2011-7-31
Luiseno,33,-117,2011-7-31
Cupeno,33.1,-116.3,2011-7-31
Cahuilla,33.3,-116.15,2011-7-31
Tohono_Oodham,32,-112,2011-7-31
Pima_Bajo,29,-111,2011-7-31
N_Tepehuan,26.2,-107,2011-7-31
S_Tepehuan,23,-105,2011-7-31
Guarijio,27.45,-108.4,2011-7-31
Raramuri,27.3,-107.3,2011-7-31
Eudeve,29.1,-109.4,2011-7-31
Opata,31,-110,2011-7-31
Arizona_Yoeme_Yaqui,31.2,-111,2011-7-31
Mayo,26,-108,2011-7-31
Tubar,27,-108,2011-7-31
Cora,22.1,-104.5,2011-7-31
Wixarika_Huichol,22,-104,2011-7-31
Classical_Nahuatl,19.2,-99,2011-7-31
Tetelcingo_Mexicano,19.4,-99,2011-7-31
Pochutla_Mexicano,15.45,-96.3,2011-7-31
Pipil,13.5,-89.35,2011-7-31
Ipai,32.4,-116.1,2011-7-31
Tewa,35.56,-106.06,2011-7-31
