strain_name,latitude,longitude,date
EBORNA,-0.00000002,24.999999,1976-12-12
AF054908,-0.00000002,24.999999,1995-12-12
AF173836,13.3166378,30.2094946,1976-12-12
Y09358,-0.8280967,11.5989086,1994-12-12
AF086833,-0.00000002,24.999999,1976-12-12
NC_002549,-0.00000002,24.999999,1995-12-12
AB050936,-0.00000002,24.999999,1994-12-12
AY058895,-0.8280967,11.5989086,1996-12-12
AF499101,-0.00000002,24.999999,1976-12-12
AY142960,-0.00000002,24.999999,1976-12-12
AY729654,1.3640158,32.2940505,2000-12-12
NC_006432,1.3640158,32.2940505,2000-12-12
EU051639,-0.8280967,11.5989086,1996-12-12
EU051640,-0.8280967,11.5989086,2001-12-12
EU051641,-0.8280967,11.5989086,2001-12-12
EU051642,-0.8280967,11.5989086,2001-12-12
EU051644,-0.8280967,11.5989086,2002-12-12
EU051645,-0.8280967,11.5989086,2003-12-12
EU051646,-0.8280967,11.5989086,2003-01-12
EU051647,-0.8280967,11.5989086,2005-05-12
EU051648,-0.8280967,11.5989086,2003-11-12
EU051649,-0.8280967,11.5989086,2002-12-02
EU051650,-0.8280967,11.5989086,2005-06-12
NC_001608,-0.0205406,37.9002956,1967-12-12
