taxon_name,latitutude,longitude
Aro22231,00.80000,-86.21666 
Arosacea2,0.804817,-86.228633
Arosacea3,0.804817,-86.228633
Arosacea4,0.804817,-86.228633
Arosacea5,0.804817,-86.228633
Arosacea6,0.804817,-86.228633
ARO105,27.01125,-111.40691 
ARO91,27.01125,-111.40691
ARO164,27.01125,-111.40691   
ARO165,27.01125,-111.40691
ARO139,08.93000,-84.31350 
ARO140,08.92846,-84.31310 
ARO141,08.93075,-84.30718
ARO142,08.91983,-84.30553
ARO144,09.03028,-84.62300
ARO145,09.11673,-84.83506
ARO146,-07.41595,-107.793217
ARO147,-07.370717,-107.785333
ARO148,-07.420583,-107.793717
ARO120,-17.423067,-113.20465
ARO149,-18.610083,-113.400033   
ARO150,-18.610083,-113.400033    
ARO151,-18.610083,-113.400033
ARO152,-21.561083,-114.299683  
ARO153,-21.561083,-114.299683    
ARO154,-21.561083,-114.299683
ARO135,-23.54633,-115.56965 
ARO136,-23.54633,-115.56965
ARO137,-23.54633,-115.56965 
ARO129,-31.86315,-112.04223
ARO130,-31.86315,-112.04223
ARO131,-31.86315,-112.04223
ARO132,-31.15065,-111.93198
ARO133,-31.15065,-111.93198
ARO134,-31.15065,-111.93198
ARO126,-37.79271,-110.91605    
ARO127,-37.79271,-110.91605    
ARO128,-37.79165,-110.91428   
Hai31241,29.16691,-43.17371
Hai31261,26.13568,-44.82571
Hai31281,23.36766,-44.94978 
Hai31332,14.75315,-44.98048 
Hai31333,14.75315,-44.98048 
ARO161,-16.991333,-173.914833   
ARO162,-16.991333,-173.914833   
ARO163,-16.991333,-173.914833
ARO158,-20.055667,-176.1425   
ARO159,-20.055667,-176.1425   
ARO160,-20.055667,-176.1425 
ARO155,-21.989,-176.568167   
ARO156,-21.989,-176.568167   
ARO157,-21.989,-176.568167   
 ARO166,-23.883,69.567   
ARO167,-23.883,69.567   
ARO92,-23.883,69.567    
CHVI49,24.45583,-83.18833   
CP346315,36.873,-121.915983 
NOTO22362,16.851667,-99.900278


  
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   
   











