strain_name,latitude,longitude,date
bBE_adolf_2000,7.335777283,46.94170729,2000-09-29
bdSZ_r14774_2008,8.494920731,46.99568017,2008-11-18
bFR_r8955_2009,7.187976837,46.85561305,2009-12-21
bNE_r16336_2008,6.906881332,47.05816551,2008-12-08
bNW_r5399_2009,8.354587555,46.95448062,2009-07-28
bOW_r6813_2008,8.244509697,46.90419001,2008-05-02
eAR_r17424_2008,9.261689186,47.36417618,2008-12-30
eGR_r2877_2003,10.05974293,46.32476434,2003-11-14
eGR_r3389_2008,9.510169029,46.84205293,2008-03-05
eJU_r15620_2008,7.326507568,47.36374015,2008-11-27
eLU_er3977_2010,7.923717499,47.22364863,2010-03-02
eSH_er25802009,8.551354408,47.69500323,2009-09-07
eVD_r6092_2008,6.576347351,46.62621695,2008-04-21
eVS_r16834_2008,7.388777733,46.22188999,2008-12-17
eZH_er2248_2009,8.415184021,47.35702494,2009-03-19
hAG_er1951_2009,8.005385399,47.40985146,2009-01-05
hBS_r15608_2008,7.663993835,47.5709958,2008-11-27
hGE_r3298_2008,6.075482368,46.2101902,2008-03-04
hGL_r2148_2008,9.08200264,47.03576579,2008-02-14
hSO_r4273_2008,7.507610321,47.22732083,2008-03-25
hSZ_r8555_2009,8.653235435,47.01739451,2009-12-10
hTG_er3428_2010,8.937249184,47.55605343,2010-03-29
hTI_r5516_2008,8.955402374,46.1615827,2008-04-11
kAI_r6775_2010,9.415283203,47.34082932,2010-03-30
kBL_r280_2010,7.733473778,47.45943343,2010-01-07
kLU_er2045_2009,8.298239708,47.07663966,2009-01-19
kSG_r12379_2010,9.375500679,47.40970624,2010-08-27
