strain_name,latitude,longitude
K1_BLB-PI590930,20.26667,-102.93333
A1_BLB-CGN17692,17.8833,-96.55
A1_BLB-CGN21306,17.5,-96.45
A1_BLB-CGN17689,19.35,-99.2
A1_BLB-PI275195,17.03333,-96.76667
A1_BLB-CGN960631,17.03333,-96.7667
A1_Rpi-blb1,17.8833,-96.55
A2_BLB-CGN17682,17.8833,-96.55
A2_BLB-CGN21306,17.5,-96.45
A3_BLB-CGN21306,17.5,-96.45
A3_BLB-PI498011,17.0333,-96.7667
A3_BLB-CGN17689,19.35,-99.2
A3_BLB-PI498223,17.03333,-96.76667
A3_BLB-PI275195,17.03333,-96.76667
A4_BLB-CGN283096,17.5,-96.76667
A5_BLB-CGN22698,19.1833,-98.2166
A5_BLB-CGN962577,19.25,-98.88333
A6_BLB-CGN17688,19.7,-103.5166
A6_BLB-PI558377,16.2667,-96.6833
A7_BLB-PI558377,16.2667,-96.6833
A8_BLB-PI365379,18.71667,-97.31667
A9_STO-CGN23519,19.1166,-98.7666
A9_BLB-PI498223,17.03333,-96.76667
A10_BLB-PI498223,17.03333,-96.76667
A11_BLB-CGN17693,19.7166,-99.7833
B1_BLB-CGN17692,17.8833,-96.55
B2_BLB-PI498224,21.21667,-99.03333
B3_STO-CGN17605,19.7,-101.1166
B3_BLB-PI545751,20.98333,-103.1667
B4_Rpi-sto1,19.7,-101.1166
C1_BLB-PI498223,17.03333,-96.76667
C2_BLB-CGN22698,19.1833,-98.2166
C3_BLB-PI347757,19.51667,-100.25
C4_PTA-CGN17831,23.5,-103.5833
C4_PTA-CGN17832,24.183,-105.033
C5_Rpi-pta1,23.5,-103.5833
C6_DPH-CGN24119,18.91667,-99.71667
C7_BLB-PI498011,17.0333,-96.7667
D1_CPH-CGN22387,19.4667,-98.7667
D1_STO-CGN23519,19.1166,-98.7666
D2_BLB-PI545711,17.55,-99.05
D3_BLB-PI545711,17.55,-99.05
E2_BLB-CGN23010,19.2167,-98.8
F1_BLB-PI347757,19.51667,-100.25
G1_BLB-CGN17687,19.35,-99.2
H1_BLB-PI310960,17.81667,-98.133333
I1_BLB-PI310960,17.81667,-98.133333
J1_BLB-PI590930,20.26667,-102.93333
L1_BLB-CGN17687,19.35,-99.2
M1_BLB-CGN960626,19.35,-99.2
M1_BLB-CGN962577,19.25,-98.88333
M1_BLB-PI498225,19.4,-100.33
M1_BLB-PI275190,19.0666667,-98.3
M1_BLB-CGN23010,19.2167,-98.8
M1_BLB-CGN22367,19.2166,-98.8
M1_BLB-CGN17691,19.2166,-98.8
M1_BLB-CGN17689,19.35,-99.2
M1_PTT-CGN21363,15.15,-90.3
M1_CGN23075,15.3166,-91.55
M1_PI275199,19.4833,-98.9
M1_BLB-CGN17690,19.8333,-101.7166
