strain_name,latitude,longitude,date
EPI2711,46,105,2006-01-01
EPI175656,26,93,2008-11-20
EPI175658,26,93,2008-11-20
EPI184255,24,88,2008-01-01
EPI184274,24,88,2008-01-01
EPI184277,24,88,2008-01-01
EPI190635,24,90,2007-01-01
EPI190636,24,90,2007-01-01
EPI190637,24,90,2007-01-01
EPI190638,24,90,2007-01-01
EPI190639,24,90,2007-01-01
EPI190640,24,90,2008-01-01
EPI190641,24,90,2008-01-01
EPI190642,24,90,2008-01-01
EPI190643,24,90,2008-01-01
EPI190644,24,90,2008-01-01
EPI190645,24,90,2008-01-01
EPI190646,24,90,2007-01-01
EPI190647,24,90,2008-01-01
EPI190648,24,90,2008-01-01
EPI190649,24,90,2008-01-01
EPI190650,24,90,2008-01-01
EPI190651,24,90,2008-01-01
EPI190652,24,90,2008-01-01
EPI190653,24,90,2008-01-01
EPI190654,24,90,2009-01-01
EPI190655,24,90,2007-01-01
EPI190656,24,90,2007-01-01
EPI190657,24,90,2007-01-01
EPI190658,24,90,2007-01-01
EPI190659,24,90,2007-01-01
EPI190660,24,90,2007-01-01
EPI190661,24,90,2007-01-01
EPI219315,20,77,2009-01-02
EPI219317,20,77,2009-03-10
EPI219319,20,77,2009-05-23
EPI219470,24,90,2008-02-01
EPI220309,20,77,2008-11-27
EPI220311,20,77,2008-12-16
EPI221299,20,77,2008-01-21
EPI221304,20,77,2008-01-21
EPI221306,20,77,2008-01-21
EPI221308,20,77,2008-01-22
EPI221310,20,77,2008-01-22
EPI221312,20,77,2008-01-22
EPI221314,20,77,2008-01-23
EPI221316,20,77,2008-01-23
EPI221318,20,77,2008-01-23
EPI221320,20,77,2008-01-23
EPI221322,20,77,2008-01-25
EPI221324,20,77,2008-01-25
EPI221326,20,77,2008-01-25
EPI221328,20,77,2008-01-13
EPI221333,20,77,2008-01-13
EPI221341,24,92,2008-04-03
EPI255774,26,93,2008-12-01
