acc,lat,long,date
TW07893,56,-4,1947-01-01
TW07895,56,-4,1947-01-01
TW07887,54,-4,1950-01-01
TW01277,54,-4,1950-01-01
TW00081,44.25029,-85.50033,1950-01-01
TW00587,40.71427,-74.00597,1950-01-01
TW01280,46,2,1951-01-01
TW01279,51.5,10.5,1951-01-01
TW01142,37.25022,-119.75126,1951-01-01
TW07615,46,2,1952-01-01
TW07622,47.00016,8.01427,1952-01-01
TW01268,47.33333,13.33333,1953-01-01
TW03810,22,-79.5,1953-01-01
TW06584,51.5,10.5,1953-01-01
TW07896,54,-4,1953-01-01
TW01155,21.0245,105.84117,1953-01-01
TW06578,39.76,-98.5,1954-01-01
TW00591,40.27245,-76.90567,1954-01-01
TW07502,51.5,10.5,1955-01-01
TW01506,32.22174,-110.92648,1955-01-01
TW00034,28.75054,-82.5001,1955-01-01
TW00142,32.75042,-83.50018,1955-01-01
TW00944,51.5,10.5,1956-01-01
TW00945,51.5,10.5,1956-01-01
TW02637,-19,29,1956-01-01
TW00185,28.75054,-82.5001,1956-01-01
TW00197,40.27245,-76.90567,1956-01-01
TW00588,40.27245,-76.90567,1956-01-01
TW01269,4,-56,1958-01-01
TW03154,4,-56,1958-01-01
TW01175,46.25024,-94.25055,1958-01-01
TW00949,56,10,1959-01-01
TW00942,51.5,10.5,1959-01-01
TW01933,35.50069,-80.00032,1959-01-01
TW01162,15.4391,-61.34596,1960-01-01
TW00951,4,-56,1960-01-01
TW03188,28.75054,-82.5001,1960-01-01
TW01206,44.50024,-90.00041,1961-01-01
TW00460,-1,15,1962-01-01
TW01266,27,30,1962-01-01
TW00962,32,53,1963-01-01
TW01267,30,70,1963-01-01
TW00919,51.5,10.5,1964-01-01
TW00946,30,70,1964-01-01
TW00956,30,70,1964-01-01
TW01275,54,-4,1964-01-01
TW06158,35.68536,139.75309,1965-01-01
TW00947,7,81,1965-01-01
TW01270,39.76,-98.5,1965-01-01
TW07038,-10,-55,1966-01-01
TW07044,-23.5475,-46.63611,1966-01-01
TW01161,34.5003,-111.50098,1966-01-01
TW00073,40.75766,-73.91327,1966-01-01
TW00074,40.75766,-73.91327,1966-01-01
