strain_name,latitude,longitude
GQ255380,45.66,-84.45
GQ385941,42.4166,-82.666
DQ427105,42.4166,-82.666
EU932926,42.44,-76.5
EU932924,42.44,-76.5
EU932927,42.44,-76.5
EU932925,42.44,-76.5
AB490792,33.75,132.75
AY356638,55.9607273,11.5945854
AY356642,55.9607273,11.5945854
AY356639,55.9607273,11.5945854
AY356662,55.9999962,17.999999
AY356661,55.9999962,17.999999
AY356660,55.9999962,17.999999
AJ849487,36.3079034,-6.1431895
AJ849486,36.3079034,-6.1431895
AJ849485,36.3079034,-6.1431895
AY356719,61.9030723,-6.9813045
AY356742,61.9030723,-6.9813045
AY356741,61.9030723,-6.9813045
AJ130926,47.2783509,-120.8341482
AJ130925,47.2783509,-120.8341482
