strain_name,latitude,longitude,date
AB179621,36,138,1998-01-01
AF143862,50,-0.1,1996-01-01
AF143863,46,2,1990-01-01
AJ233396,46,2,1971-01-01
AY546576,54.775,13.0517,1996-01-01
AY546577,54.775,13.0517,1996-01-01
AY546581,58.043,10.14,1997-01-01
AY546582,56.909,7.349,1997-01-01
AY546630,60.33,-1.33,1993-01-01
DQ401186,50.261,-129.463,1993-01-01
DQ401188,50.261,-129.463,1999-01-01
DQ401191,36,138,1999-01-01
DQ401192,45.263,-69.018,2003-01-01
DQ401193,42.45588764,-82.6940918,2004-01-01
DQ401194,50.261,-129.463,1999-01-01
DQ401195,50.261,-129.463,1999-01-01
EF079896,47.339,-60.029,2000-01-01
EF079897,47.339,-60.029,2002-01-01
EF079898,47.339,-60.029,2004-01-01
EF079899,47.339,-60.029,2004-01-01
U28747,46.7567,-123.764,1988-01-01
X73873,51.163,10.453,1983-01-01
Y18263,51.163,10.453,1983-01-01
Z93412,55.329,7.383,1972-01-01
Z93414,58.043,10.14,1979-01-01
U88053,60.615,-147.168,1993-01-01
U88052,60.615,-147.168,1990-01-01
U88051,50.261,-129.463,1993-01-01
U88055,46.7567,-123.764,1993-01-01
U88050,46.7567,-123.764,1991-01-01
AB060725,35.75,135.66,1999-01-01
AB060727,34.35,134.05,1996-01-01
AB490792,33.8,132.76,2000-01-01
DQ473297,45.5,-122.4,2001-03-01
DQ473298,34,-118.25,2001-02-01
DQ473299,34,-118.25,2002-03-01
DQ473300,34,-118.25,2002-03-01
DQ473303,46.7567,-123.764,2001-03-01
GQ385941,42.45588764,-82.6940918,2003-01-01
GU265809,37,127.5,2005-01-01
GU265810,37,127.5,2005-01-01
GU265811,37,127.5,2008-01-01
GU265812,37,127.5,2008-01-01
GU265813,37,127.5,2005-01-01
GU265814,37,127.5,2003-01-01
GU265815,37,127.5,2005-01-01
