strain_name,latitude,longitude
HM143881,10,8
HM143880,10,8
HM143879,10,8
HM143878,10,8
HM143877,10,8
HM143876,10,8
HM143875,10,8
HM143874,10,8
HM143873,10,8
HM143872,10,8
HM143871,10,8
HM143870,10,8
HM143868,10,8
HM143867,10,8
HM143866,10,8
GU979508,8.5,11.5
GU979506,8.5,11.5
GU979505,8.5,11.5
GU979504,8.5,11.5
GU979503,8.5,11.5
GU481078,6.5,6
GU481076,6.5,6
GU481074,6.5,6
GU481072,9.166,9.75
GU481070,9.166,9.75
GU481068,6.25,8.0833
GU481066,6.25,8.0833
GU481063,8.8333,7.1666
GU481060,9.166,9.75
GU481058,6.25,8.0833
GU481056,6.25,8.0833
GU830839,11,-10
GU830843,11,-10
GU830842,11,-10
GU830841,11,-10
GU830840,11,-10
GU830838,11,-10
GU830837,6.5,-9.5
GU830836,6.5,-9.5
GU830835,6.5,-9.5
GU830834,6.5,-9.5
GU830833,6.5,-9.5
GU830832,6.5,-9.5
GU830831,6.5,-9.5
GU830830,6.5,-9.5
GU830829,6.5,-9.5
GU830828,6.5,-9.5
GU830827,6.5,-9.5
GU830826,6.5,-9.5
GU830825,6.5,-9.5
GU830824,6.5,-9.5
GU830823,6.5,-9.5
GU830822,6.5,-9.5
GU830821,6.5,-9.5
GU830820,6.5,-9.5
GU830819,6.5,-9.5
GU830818,6.5,-9.5
GU830817,6.5,-9.5
GU830816,6.5,-9.5
GU830815,6.5,-9.5
GU830814,6.5,-9.5
GU830813,6.5,-9.5
GU830812,6.5,-9.5
GU573552,17,-4
GU573551,17,-4
GU573550,17,-4
GU573549,17,-4
GU573548,17,-4
GU573547,17,-4
