strain_name,latitude,longitude
AF531547,31.4133,104.177
DQ112250,30.5,102.5
DQ112251,30.5,102.5
DQ112252,25,102
DQ112253,25,102
DQ112254,25,102
DQ212797,31.0813,101.41166
DQ212798,31.0813,101.41166
DQ212799,32.3444,107.507
DQ212800,32.3444,107.507
DQ212801,32.3444,107.507
DQ212802,32.3444,107.507
DQ212803,32.3444,107.507
DQ212804,32.3444,107.507
DQ212805,32.3444,107.507
DQ212806,32.3444,107.507
DQ212807,32.3444,107.507
DQ212808,32.3444,107.507
DQ212809,30.0438,103.836
DQ212810,30.0438,103.836
DQ212811,30.0438,103.836
DQ212812,30.0438,103.836
DQ212813,30.0438,103.836
DQ212814,27.8963,102.2633
DQ212815,27.8963,102.2633
DQ212816,27.8963,102.2633
DQ212817,27.8963,102.2633
DQ212818,27.8963,102.2633
DQ212819,27.8963,102.2633
DQ212820,27.8963,102.2633
DQ212821,27.8963,102.2633
DQ212822,27.8963,102.2633
DQ212823,27.8963,102.2633
DQ212824,27.8963,102.2633
DQ212825,27.8963,102.2633
DQ212826,27.8963,102.2633
DQ212827,27.8963,102.2633
DQ212828,27.8963,102.2633
DQ212829,27.8963,102.2633
DQ212830,27.8963,102.2633
DQ212831,27.8963,102.2633
DQ212832,27.8963,102.2633
DQ212833,27.8963,102.2633
DQ212834,27.8963,102.2633
DQ212835,27.8963,102.2633
DQ212836,27.8963,102.2633
DQ212837,27.8963,102.2633
DQ212838,27.8963,102.2633
DQ212839,27.8963,102.2633
DQ212840,27.8963,102.2633
DQ212841,26.9688,101.8097
DQ212842,26.9688,101.8097
DQ212843,26.9688,101.8097
DQ212844,26.9688,101.8097
DQ212845,26.9688,101.8097
DQ212846,26.9688,101.8097
DQ212847,26.9688,101.8097
DQ212848,26.9688,101.8097
DQ212849,26.9688,101.8097
DQ212850,26.9688,101.8097
DQ212851,26.9688,101.8097
DQ212852,25.7003,100.1564
DQ212853,25.7003,100.1564
DQ212854,25.7003,100.1564
DQ212855,25.7003,100.1564
DQ212856,25.7003,100.1564
DQ212857,25.7003,100.1564
EU079378,27.8963,102.2633
EU688958,25,102
EU688959,25,102
EU780224,33,120
EU780225,33,120
NC_013187,27.8963,102.2633
DQ112255,25,116
DQ112256,25,116
DQ112257,25,116
DQ112258,25,116
DQ112259,25,116
DQ112260,25,116
DQ112261,25,116
DQ112262,25,116
DQ112263,25,116
DQ112264,24,109
DQ112265,24,109
DQ112266,24,109
DQ112267,24,109
DQ112268,31,112
DQ112269,31.2333,121.4666
DQ112270,31.2333,121.4666
EU001660,24.46666667,111.2166667
NC_012899,24.46666667,111.2166667
DQ112271,24,121
DQ112272,24,121
DQ112273,24,121
DQ112274,24,121
DQ112275,24,121
DQ112276,24,121
DQ112277,24,121
DQ112278,24,121
DQ112279,24,121
DQ112280,24,121
DQ112281,24,121
DQ112282,24,121
DQ112283,24,121
DQ112284,35.68333333,139.75
DQ112285,35.68333333,139.75
DQ112286,35.68333333,139.75
DQ112287,13,122
DQ112289,13,122
DQ112288,13,122
DQ212796,25.66666667,119.3666667
3CO1FR,35.395767,139.955692
9CO1FR,28.590853,118.370476
10CO1FR,30.405452,103.829727
AF253071,0,0
