"Location","Host"
"United States,New York","Alectoris chukar"
"United States,New York,The Bronx,New York City","Alectoris chukar"
"United States,New York,The Bronx,New York City","Alectoris chukar"
"United States","Anas acuta"
"United States,Alaska","Anas acuta"
"United States,Minnesota","Anas acuta"
"United States,California","Anas acuta"
"Japan","Anas acuta"
"Japan","Anas acuta"
"Japan","Anas acuta"
"Canada,Alberta","Anas acuta"
"United States,Alaska","Anas acuta"
"United States,Alaska","Anas acuta"
"Japan","Anas acuta"
"Japan","Anas acuta"
"Japan","Anas acuta"
"Japan","Anas acuta"
"Canada,Alberta","Anas americana"
"United States","Anas carolinensis"
"United States","Anas carolinensis"
"United States","Anas carolinensis"
"United States,Ohio","Anas carolinensis"
"United States,Maryland","Anas carolinensis"
"Canada,Alberta","Anas carolinensis"
"United States","Anas carolinensis"
"United States","Anas carolinensis"
"United States,California","Anas carolinensis"
"United States,California","Anas carolinensis"
"United States","Anas clypeata"
"United States","Anas clypeata"
"United States","Anas clypeata"
"United States","Anas clypeata"
"United States","Anas clypeata"
"United States","Anas clypeata"
"United States","Anas clypeata"
"United States","Anas clypeata"
"Korea, Republic of","Anas clypeata"
"United States,North Carolina","Anas clypeata"
"United States,North Carolina","Anas clypeata"
"United States,North Carolina","Anas clypeata"
"United States,California","Anas clypeata"
"United States,California","Anas clypeata"
"Egypt","Anas clypeata"
"Italy","Anas clypeata"
"Italy","Anas clypeata"
"Italy","Anas clypeata"
"United States","Anas clypeata"
"United States","Anas clypeata"
"United States","Anas clypeata"
"United States","Anas clypeata"
"United States","Anas clypeata"
"Italy","Anas clypeata"
"Italy","Anas clypeata"
"Ukraine","Anas crecca"
"United States,California","Anas crecca"
"Spain","Anas crecca"
"Italy","Anas crecca"
"Italy","Anas crecca"
"United States","Anas cyanoptera"
"United States","Anas cyanoptera"
"Guatemala","Anas discors"
"Guatemala","Anas discors"
"United States,Maryland","Anas discors"
"United States,Ohio","Anas discors"
"United States,Ohio","Anas discors"
"United States,Ohio","Anas discors"
"Canada,Alberta","Anas discors"
"United States","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"United States","Anas platyrhynchos"
"United States","Anas platyrhynchos"
"United States","Anas platyrhynchos"
"United States","Anas platyrhynchos"
"New Zealand","Anas platyrhynchos"
"Korea, Republic of","Anas platyrhynchos"
"Netherlands","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Spain","Anas platyrhynchos"
"Poland,Pomeranian Voivodeship,Gdansk Jelitkowo","Anas platyrhynchos"
"Netherlands","Anas platyrhynchos"
"Netherlands","Anas platyrhynchos"
"Netherlands","Anas platyrhynchos"
"Canada,Alberta","Anas platyrhynchos"
"United States,Maryland","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Poland,Podlasie Voivodeship,Podlasie Voivodship","Anas platyrhynchos"
"France","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"United States,Ohio","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Canada,Alberta","Anas platyrhynchos"
"Canada,Alberta","Anas platyrhynchos"
"United States,Delaware","Anas platyrhynchos"
"United States,Ohio","Anas platyrhynchos"
"Canada,Alberta","Anas platyrhynchos"
"Canada,Alberta","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Netherlands","Anas platyrhynchos"
"France","Anas platyrhynchos"
"France","Anas platyrhynchos"
"United States","Anas platyrhynchos"
"Netherlands","Anas platyrhynchos"
"Spain","Anas platyrhynchos"
"Korea, Republic of","Anas platyrhynchos"
"Korea, Republic of","Anas platyrhynchos"
"Korea, Republic of","Anas platyrhynchos"
"Korea, Republic of","Anas platyrhynchos"
"United States,Maryland","Anas platyrhynchos"
"Netherlands","Anas platyrhynchos"
"Poland,Pomeranian Voivodeship,Slupsk","Anas platyrhynchos"
"United States,Minnesota","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"France","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"United States,California","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"Canada,Alberta","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Sweden","Anas platyrhynchos"
"Italy","Anas platyrhynchos"
"United States,Maryland","Anas rubripes"
"United States,Maryland","Anas rubripes"
"Canada,New Brunswick","Anas rubripes"
"United States,New York","Anas sp."
"Japan,Tsukuba-gun","Anas sp."
"Japan,Tsukuba-gun","Anas sp."
"Japan,Shiga","Anas sp."
"Japan,Shimane","Anas sp."
"Mongolia","Anas sp."
"United States,New York","Anas sp."
"Mongolia","Anas sp."
"Mongolia","Anas sp."
"Japan,Tsukuba-gun","Anas sp."
"Japan,Tsukuba-gun","Anas sp."
"Japan,Shimane","Anas sp."
"Germany","Animal"
"United States","Avian"
"United States","Avian"
"United States","Avian"
"United States","Avian"
"Poland,Pomeranian Voivodeship, ","Avian"
"Australia,Victoria","Avian"
"United States,California","Avian"
"United States,New York","Avian"
"United States,New York","Avian"
"United States,New York","Avian"
"United States,New York","Avian"
"United States,New York","Avian"
"United States","Avian"
"Germany,Mecklenburg-Vorpommern","Avian"
"United States","Avian"
"Egypt","Avian"
"Netherlands","Avian"
"United States,California","Avian"
"United States,New Jersey","Avian"
"United Kingdom","Avian"
"Egypt","Avian"
"United States,New York","Avian"
"United States,New York","Avian"
"United States,New York","Avian"
"Pakistan","Chicken"
"Pakistan","Chicken"
"Pakistan","Chicken"
"Pakistan","Chicken"
"Germany,Lower Saxony","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
"Netherlands","Chicken"
