strain_name,latitude,longitude,date
3AG_Beijing_1931,39.89,116.34,31-01-01
GX304_cow_Guangxi_2004,21.65,108.37,04-01-01
GXWXp_dog_Guangxi_2005,23.6,109.6,05-01-01
GX219_dog_Guangxi_2003,23.1,109.6,03-01-01
GXN119_dog_Guangxi_2004,22.84,108.33,04-01-01
GX195_dog_Guangxi_2004,23.51,111.34,04-01-01
GX260_cow_Guangxi_2004,23.73,109.23,04-01-01
Wx1_dog_Jiangsu_2005,31.62,120.29,05-01-01
Wg12_dog_Hunan_2004,26.73,110.61,05-01-01
A148_dog_Guizhou_2004,25.11,105.49,04-01-01
Xx33_dog_Hunan_2004,27.75,112.5,04-01-01
Xx34_dog_Hunan_2004,27.75,112.5,04-01-01
HN10_dog_Hunan_2006,26.25,111.61,06-01-01
Sq6_dog_Henan_2005,34.45,115.63,05-01-01
Hb10_dog_Henan_2005,32.44,115.41,05-01-01
Yl66_dog_Guangxi_2004,22.64,110.15,04-01-01
Qx5_dog_Guizhou_2004,27.03,106.03,04-01-01
A101_dog_Guizhou_2005,25.11,105.49,05-01-01
A103_dog_Guizhou_2005,25.11,105.49,05-01-01
Wg22_dog_Hunan_2004,26.73,110.61,04-01-01
A158_dog_Guizhou_2004,25.11,105.49,04-01-01
Sq17_dog_Henan_2005,34.45,115.63,05-01-01
Wx0H_human_Jiangsu_2004,31.62,120.29,04-01-01
Yc63_dog_Jiangsu_2004,33.41,120.12,04-01-01
BD06_dog_Hebei_2006,38.86,115.49,06-01-01
FJ001_dog_Fujian_2008,25.43,116.41,08-01-01
FJ002_dog_Fujian_2008,25.43,116.41,08-01-01
FJ003_dog_Fujian_2008,25.85,116.37,08-01-01
FJ004_dog_Fujian_2008,25.34,118.3,08-01-01
FJ005_dog_Fujian_2008,25.34,118.3,08-01-01
FJ006_dog_Fujian_2008,25.07,118.18,08-01-01
FJ008_dog_Fujian_2008,27.92,118.55,08-01-01
FJ009_dog_Fujian_2008,27.92,118.55,08-01-01
FJ010_dog_Fujian_2008,27.92,118.55,08-01-01
FJ011_dog_Fujian_2008,27.92,118.55,08-01-01
FJ012_dog_Fujian_2007,25.09,117.04,07-01-01
FJ013_dog_Fujian_2007,25.09,117.04,07-01-01
FJ014_dog_Fujian_2007,25.09,117.04,07-01-01
DRV_deer_Jilin_1989,43.89,125.33,89-01-01
MRV_mouse_Henan_1989,34.76,113.64,89-01-01
HuNPN01_pig_Hunan_2005,28.22,112.99,05-01-01
HuNDN16_dog_Hunan_2005,29.71,113.56,05-01-01
Md06_dog_Yunnan_2006,25.01,101.54,06-01-01
Qj07_dog_Yunnan_2007,25.5,103.78,07-01-01
Zt07_dog_Yunnan_2007,29.32,103.7,07-01-01
Tc06_dog_Yunnan_2006,25.1,99.1,06-01-01
Hebei0_H__human_Hebei_2007,39.89,116.34,07-01-01
hubei070308_cow_Hubei_2007,30.88,114.36,07-01-01
HZ-6_dog_Shanxi_2009,33.1,107.99,09-01-01
BZ-1_dog_Sichuan_2009,31.86,106.74,09-01-01
GXSL_cow_Guangxi_2005,23.44,108.59,05-01-01
GXHX_dog_Guangxi_2005,22.69,109.2,05-01-01
GXBS_dog_Guangxi_2005,23.88,106.56,05-01-01
GXLA_dog_Guangxi_2003,23.18,107.68,03-01-01
GXBM_dog_Guangxi_2003,24.15,107.25,03-01-01
