strain_name,latitude,longitude,date
1,50.1213,100.043,2005-02-08
2,49.0212,101.1137,2009-08-01
3,49.0212,101.1137,2009-08-01
4,49.0212,101.1137,2009-08-01
5,37.2666,100.2666,2005-05-04
6,37.2666,100.2666,2005-05-04
7,37.2666,100.2666,2005-05-04
8,37.2666,100.2666,2005-05-04
9,37.2666,100.2666,2005-05-04
10,37.2666,100.2666,2005-05-04
11,37.2666,100.2666,2005-05-04
12,37.2666,100.2666,2005-05-04
13,37.2666,100.2666,2005-05-04
14,37.2666,100.2666,2005-05-04
15,37.2666,100.2666,2005-05-04
16,37.2666,100.2666,2006-04-23
17,37.2666,100.2666,2007-04-23
18,50.8434,92.9852,2009-06-11
19,37.2666,100.2666,2005-05-04
20,37.2666,100.2666,2005-05-04
21,37.2666,100.2666,2005-05-04
22,37.2666,100.2666,2006-04-23
23,50.8434,92.9852,2009-06-11
24,37.2666,100.2666,2009-06-11
25,48.81,103.53,2006-06-05
26,49.0212,101.1137,2009-08-01
27,49.0212,101.1137,2009-08-01
28,37.2666,100.2666,2005-05-04
29,37.2666,100.2666,2006-04-23
30,37.2666,100.2666,2007-04-23
31,50.8434,92.9852,2009-06-11
32,50.8434,92.9852,2009-06-11
33,50.8434,92.9852,2009-06-11
34,50.8434,92.9852,2009-06-11
35,50.8434,92.9852,2009-06-11
36,49.0212,101.1137,2009-08-01
37,49.0212,101.1137,2009-08-01
