strain_name,latitude,longitude
Fe01,34.6812,-91.3145
Oj01,34.11411,-92.40946
Oj02,34.11411,-92.40946
Oj03,34.11411,-92.40946
Oj04,33.77699,-88.36466
Oj05,33.77699,-88.36466
Oj06,33.32661,-91.97575
Oj07,33.32661,-91.97575
Oj08,33.32661,-91.97575
Oj09,33.32661,-91.97575
Oj10,33.32661,-91.97575
Oj11,33.32661,-91.97575
Oj12,33.32661,-91.97575
Oj13,33.32661,-91.97575
Oj14,33.32661,-91.97575
Oj15,33.32661,-91.97575
Oj16,33.67001,-92.86965
Oj17,33.67001,-92.86965
Oj18,33.67001,-92.86965
Oj19,33.67001,-92.86965
Oj20,33.67001,-92.86965
Oj21,33.67001,-92.86965
Oj22,33.67001,-92.86965
Oj23,33.67001,-92.86965
Oj24,33.67001,-92.86965
Oj25,33.67001,-92.86965
Oj26,33.67001,-92.86965
Oj27,33.67001,-92.86965
Oj28,33.67001,-92.86965
Oj29,33.67001,-92.86965
Oj30,33.67001,-92.86965
Oj31,33.67001,-92.86965
Oj32,33.67001,-92.86965
Oj33,33.80304,-94.21356
Oj34,33.82135,-94.27107
Oj35,33.82135,-94.27107
Oj36,33.82135,-94.27107
Oj41,33.80963,-93.13412
Oj42,33.80963,-93.13412
Oj43,33.80963,-93.13412
Oj44,34.11411,-92.40946
Oj45,34.11411,-92.40946
Oj46,34.11411,-92.40946
Oj47,34.11411,-92.40946
Oj48,34.11411,-92.40946
Oj49,34.11411,-92.40946
Oj50,34.11411,-92.40946
Oj51,34.11411,-92.40946
Oj52,33.3509,-91.9708
Oj56,33.80963,-93.13412
Oj57,33.80963,-93.13412
Oj64,33.1217,-86.9144
Oj65,33.1217,-86.9144
Oj66,33.1217,-86.9144
Oj67,33.1217,-86.9144
Oj68,34.11411,-92.40946
Oj69,34.11411,-92.40946
Oj70,34.11411,-92.40946
Oj71,33.93519,-94.45802
Oj72,33.87716,-94.36769
Oj81,34.1446,-94.23917
Oj91,35.6827,-92.57605
Oj92,35.6827,-92.57605
Oj93,35.6827,-92.57605
Oj94,35.6827,-92.57605
Oj95,35.6827,-92.57605
Oj98,35.6827,-92.57605
Oj99,35.6827,-92.57605
Oj100,35.6827,-92.57605
Oj101,34.80372,-93.84392
Oj102,34.82471,-93.81441
Va05,34.61661,-94.13941
Va06,34.61661,-94.13941
Va07,34.61661,-94.13941
Va08,34.61661,-94.13941
Va09,34.61661,-94.13941
Va12,34.61661,-94.13941
Va13,34.61661,-94.13941
Va14,34.61661,-94.13941
Va15,34.61661,-94.13941
Va16,34.61661,-94.13941
Va18,34.61661,-94.13941
Va19,34.61661,-94.13941
Va21,34.56213,-94.37496
