strain_name,latitude,longitude
Oj01,-92.40946,34.11411
Oj02,-92.40946,34.11411
Oj03,-92.40946,34.11411
Oj04,-88.36466,33.77699
Oj05,-88.36466,33.77699
Oj06,-91.97575,33.32661
Oj07,-91.97575,33.32661
Oj08,-91.97575,33.32661
Oj09,-91.97575,33.32661
Oj10,-91.97575,33.32661
Oj11,-91.97575,33.32661
Oj12,-91.97575,33.32661
Oj13,-91.97575,33.32661
Oj14,-91.97575,33.32661
Oj15,-91.97575,33.32661
Oj16,-92.86965,33.67001
Oj17,-92.86965,33.67001
Oj18,-92.86965,33.67001
Oj19,-92.86965,33.67001
Oj20,-92.86965,33.67001
Oj21,-92.86965,33.67001
Oj22,-92.86965,33.67001
Oj23,-92.86965,33.67001
Oj24,-92.86965,33.67001
Oj25,-92.86965,33.67001
Oj26,-92.86965,33.67001
Oj27,-92.86965,33.67001
Oj28,-92.86965,33.67001
Oj29,-92.86965,33.67001
Oj30,-92.86965,33.67001
Oj31,-92.86965,33.67001
Oj32,-92.86965,33.67001
Oj33,-94.21356,33.80304
Oj34,-94.27107,33.82135
Oj35,-94.27107,33.82135
Oj36,-94.27107,33.82135
Oj42,-93.13412,33.80963
Oj43,-93.13412,33.80963
Oj44,-92.40946,34.11411
Oj45,-92.40946,34.11411
Oj46,-92.40946,34.11411
Oj47,-92.40946,34.11411
Oj48,-92.40946,34.11411
Oj49,-92.40946,34.11411
Oj50,-92.40946,34.11411
Oj51,-92.40946,34.11411
Oj52,-91.9708,33.3509
Oj56,-93.13412,33.80963
Oj57,-93.13412,33.80963
Oj64,-86.9144,33.1217
Oj65,-86.9144,33.1217
Oj66,-86.9144,33.1217
Oj67,-86.9144,33.1217
Oj68,-92.40946,34.11411
Oj69,-92.40946,34.11411
Oj70,-92.40946,34.11411
Oj71,-94.45802,33.93519
Oj72,-94.36769,33.87716
Oj77,-91.9708,33.3509
Oj81,-94.23917,34.1446
Oo01,-91.3145,34.6812
Oo04,-91.3145,34.6812
Oo05,-91.3145,34.6812
Oo06,-91.3145,34.6812
Oo07,-91.3145,34.6812
Oo09,-91.3145,34.6812
Oo10,-91.3145,34.6812
Oo12,-91.3145,34.6812
Oo13,-91.3145,34.6812
Oo14,-91.16248,35.98004
Oo15,-91.16248,35.98004
Oo17,-91.06284,36.13123
Os01,-89.62614,33.37487
Os02,-89.62614,33.37487
Os04,-89.62614,33.37487
Os06,-89.62614,33.37487
Os07,-89.62614,33.37487
Os08,-89.62614,33.37487
Os09,-89.62614,33.37487
Os13,-89.63897,33.37187
Os14,-89.63897,33.37187
Os16,-89.63897,33.37187
Os18,-89.63897,33.37187
Os19,-89.63897,33.37187
Os20,-89.63897,33.37187
Os21,-89.63897,33.37187
Os22,-89.63897,33.37187
Os23,-89.63897,33.37187
Os24,-89.63897,33.37187
Os25,-86.85385,35.61152
Os26,-86.85385,35.61152
Os27,-86.85385,35.61152
Os28,-86.85385,35.61152
Os29,-86.85385,35.61152
Ou01,-88.41676,34.102
Ou02,-86.9144,33.1217
Ou03,-86.9144,33.1217
Ou04,-86.9144,33.1217
Ou05,-86.9144,33.1217
Ou06,-86.9144,33.1217
Ou07,-86.9144,33.1217
Ou08,-86.9144,33.1217
Ou09,-86.9144,33.1217
Ou10,-86.9144,33.1217
Ou11,-88.69802,32.74914
Va05,-94.13941,34.61661
Va06,-94.13941,34.61661
Va07,-94.13941,34.61661
Va08,-94.13941,34.61661
Va09,-94.13941,34.61661
Va13,-94.13941,34.61661
Va14,-94.13941,34.61661
Va15,-94.13941,34.61661
Va16,-94.13941,34.61661
Va19,-94.13941,34.61661
Va20,-94.13941,34.61661
Fe01,-91.3145,34.6812
