strain_name,latitude,longitude
Fe01,-91.3145,34.6812
Oj01,-92.40946,34.11411
Oj02,-92.40946,34.11411
Oj03,-92.40946,34.11411
Oj04,-88.36466,33.77699
Oj05,-88.36466,33.77699
Oj06,-91.97575,33.32661
Oj07,-91.97575,33.32661
Oj08,-91.97575,33.32661
Oj09,-91.97575,33.32661
Oj10,-91.97575,33.32661
Oj11,-91.97575,33.32661
Oj12,-91.97575,33.32661
Oj13,-91.97575,33.32661
Oj14,-91.97575,33.32661
Oj15,-91.97575,33.32661
Oj16,-92.86965,33.67001
Oj17,-92.86965,33.67001
Oj18,-92.86965,33.67001
Oj19,-92.86965,33.67001
Oj20,-92.86965,33.67001
Oj21,-92.86965,33.67001
Oj22,-92.86965,33.67001
Oj23,-92.86965,33.67001
Oj24,-92.86965,33.67001
Oj25,-92.86965,33.67001
Oj26,-92.86965,33.67001
Oj27,-92.86965,33.67001
Oj28,-92.86965,33.67001
Oj29,-92.86965,33.67001
Oj30,-92.86965,33.67001
Oj31,-92.86965,33.67001
Oj32,-92.86965,33.67001
Oj33,-94.21356,33.80304
Oj34,-94.27107,33.82135
Oj35,-94.27107,33.82135
Oj36,-94.27107,33.82135
Oj42,-93.13412,33.80963
Oj43,-93.13412,33.80963
Oj44,-92.40946,34.11411
Oj45,-92.40946,34.11411
Oj46,-92.40946,34.11411
Oj47,-92.40946,34.11411
Oj48,-92.40946,34.11411
Oj49,-92.40946,34.11411
Oj50,-92.40946,34.11411
Oj51,-92.40946,34.11411
Oj52,-91.9708,33.3509
Oj56,-93.13412,33.80963
Oj57,-93.13412,33.80963
Oj64,-86.9144,33.1217
Oj65,-86.9144,33.1217
Oj66,-86.9144,33.1217
Oj67,-86.9144,33.1217
Oj68,-92.40946,34.11411
Oj69,-92.40946,34.11411
Oj70,-92.40946,34.11411
Oj71,-94.45802,33.93519
Oj72,-94.36769,33.87716
Oj77,-91.9708,33.3509
Oj81,-94.23917,34.1446
Va05,-94.13941,34.61661
Va06,-94.13941,34.61661
Va07,-94.13941,34.61661
Va08,-94.13941,34.61661
Va09,-94.13941,34.61661
Va13,-94.13941,34.61661
Va14,-94.13941,34.61661
Va15,-94.13941,34.61661
Va16,-94.13941,34.61661
Va19,-94.13941,34.61661
Va20,-94.13941,34.61661
