strain_name,latitude,longitude,date
taxid383547_CY005689.1,-25,135,1980-01-01
taxid220956_AY210011.1,-37.83,145.2,1959-01-01
taxid358577_DQ280214.1,50,-86,2003-01-01
taxid358578_DQ280238.1,50,-86,2004-01-01
taxid358579_DQ280246.1,50,-86,2004-01-01
taxid62488_CY006353.1,28.7,115.91,1993-01-01
taxid351275_CY007841.1,28.7,115.91,1994-01-01
taxid351276_CY006337.1,28.7,115.91,1994-01-01
taxid351277_CY006345.1,28.7,115.91,1994-01-01
taxid351278_CY003758.2,28.7,115.91,1994-01-01
taxid351279_CY009018.1,28.7,115.91,1993-01-01
taxid380948_CY036909.1,35,105,1993-01-01
taxid537947_CY038509.1,43.31,11.31,1995-01-01
taxid41857_U71130.1,36.33,137.98,1995-01-01
taxid425576_CY021915.1,60,47,1979-01-01
taxid538543_EU798898.1,37,127.5,2004-01-01
taxid538547_EU798899.1,37,127.5,2005-01-01
taxid205005_AY129162.1,37,127.5,2002-01-01
taxid497380_EU301400.2,37,127.5,2004-01-01
taxid538544_EU798910.1,37,127.5,2005-01-01
taxid538546_EU798911.1,37,127.5,2005-01-01
taxid538548_EU798912.1,37,127.5,2006-01-01
taxid538549_EU798913.1,37,127.5,2007-01-01
taxid538550_EU798914.1,37,127.5,2007-01-01
taxid538551_EU798915.1,37,127.5,2007-01-01
taxid538554_EU798917.1,37,127.5,2007-01-01
taxid384495_M38376.1,50.43,30.51,1979-01-01
taxid128982_AF250130.1,20,77,1999-01-01
taxid187166_AF455728.1,20,77,2000-01-01
taxid222774_AY233388.1,35.5,-80,2001-01-01
taxid539947_CY033790.1,45,-100,2007-01-01
taxid157642_AF342823.1,45,-90,1998-01-01
taxid368716_CY019745.1,35.13,-90.03,1979-01-01
taxid398800_DQ889683.1,42.93,-93,2005-01-01
taxid425557_CY021723.1,37,-119,1978-01-01
taxid425558_CY028730.1,37,-119,1978-01-01
taxid425577_CY026417.1,34.58,-86.95,1979-01-01
taxid641501_FJ966080.1,37,-119,2009-01-01
taxid641807_FJ966958.1,37,-119,2009-01-01
taxid641808_FJ966965.1,37,-119,2009-01-01
taxid641809_FJ966978.1,37,-119,2009-01-01
taxid641809_FJ969531.1,37,-119,2009-01-01
taxid641811_FJ969526.1,30,-100,2009-01-01
taxid641811_FJ981616.1,30,-100,2009-01-01
taxid641812_FJ969522.1,30,-100,2009-01-01
taxid642261_FJ984367.1,37,-119,2009-01-01
taxid642264_FJ984392.1,43,-75,2009-01-01
taxid643541_FJ984373.1,43,-75,2009-01-01
taxid643545_FJ984353.1,43,-75,2009-01-01
EPI176615,37,-119,2009-01-01
EPI176629,30,-100,2009-01-01
EPI176632,30,-100,2009-01-01
taxid425590_CY021939.1,34.58,-86.95,1960-01-01
taxid375601_CY010658.1,43,-75,1995-01-01
taxid375602_CY010666.1,43,-75,1995-01-01
taxid375603_CY010674.1,43,-75,1996-01-01
taxid375608_CY010682.1,43,-75,1995-01-01
taxid375613_CY010818.1,43,-75,1995-01-01
taxid375614_CY011438.1,43,-75,1996-01-01
taxid375618_CY010714.1,43,-75,1995-01-01
taxid375621_CY010722.1,43,-75,1996-01-01
taxid375623_CY010730.1,43,-75,1995-01-01
taxid375624_CY011454.1,43,-75,1996-01-01
taxid375625_CY011462.1,43,-75,1996-01-01
taxid375628_CY012222.1,43,-75,1995-01-01
taxid375630_CY011470.1,43,-75,1996-01-01
taxid375641_CY011822.1,43,-75,1996-01-01
taxid383057_CY011894.1,43,-75,1994-01-01
taxid383076_CY012974.1,43,-75,1994-01-01
taxid385695_CY013182.1,43,-75,1993-01-01
taxid385696_CY012126.1,43,-75,1993-01-01
taxid385697_CY013611.1,43,-75,1993-01-01
taxid385699_CY012142.1,43,-75,1993-01-01
taxid385700_CY012150.1,43,-75,1993-01-01
taxid385701_CY012158.1,43,-75,1993-01-01
taxid385702_CY012166.1,43,-75,1993-01-01
taxid385703_CY012174.1,43,-75,1993-01-01
taxid385704_CY012182.1,43,-75,1993-01-01
taxid385705_CY012190.1,43,-75,1993-01-01
taxid385706_CY013619.1,43,-75,1993-01-01
taxid385707_CY012734.1,43,-75,1993-01-01
taxid385708_CY013627.1,43,-75,1993-01-01
taxid385710_CY012742.1,43,-75,1993-01-01
taxid385711_CY012750.1,43,-75,1993-01-01
taxid385712_CY013643.1,43,-75,1993-01-01
taxid385713_CY013651.1,43,-75,1993-01-01
taxid385714_CY013659.1,43,-75,1993-01-01
taxid385715_CY012758.1,43,-75,1993-01-01
taxid385716_CY013667.1,43,-75,1993-01-01
taxid385717_CY012766.1,43,-75,1993-01-01
taxid385718_CY012774.1,43,-75,1993-01-01
taxid385719_CY012782.1,43,-75,1993-01-01
taxid385720_CY013675.1,43,-75,1993-01-01
taxid385724_CY013683.1,43,-75,1993-01-01
taxid385725_CY013214.1,43,-75,1993-01-01
taxid385726_CY012790.1,43,-75,1993-01-01
taxid385727_CY013691.1,43,-75,1993-01-01
taxid385728_CY013699.1,43,-75,1993-01-01
taxid385729_CY013707.1,43,-75,1993-01-01
taxid385730_CY013715.1,43,-75,1993-01-01
taxid385731_CY013723.1,43,-75,1993-01-01
taxid385732_CY013731.1,43,-75,1993-01-01
taxid385733_CY014149.1,43,-75,1993-01-01
taxid385735_CY013747.1,43,-75,1993-01-01
taxid385736_CY014157.1,43,-75,1993-01-01
taxid385739_CY013771.1,43,-75,1993-01-01
taxid385740_CY016489.1,43,-75,1993-01-01
taxid385741_CY013779.1,43,-75,1993-01-01
taxid385742_CY013787.1,43,-75,1993-01-01
taxid385743_CY013795.1,43,-75,1993-01-01
taxid425527_CY021115.1,34.58,-86.95,1968-01-01
taxid515581_EU409945.1,40,-80.83,2007-01-01
taxid515582_EU409954.1,40,-80.83,2004-01-01
taxid515583_EU409959.1,40,-80.83,2006-01-01
taxid556272_EU604692.1,40,-80.83,2007-01-01
taxid569203_CY035434.1,46,-94,2007-01-01
taxid569204_CY035437.1,46,-94,2007-01-01
taxid569205_CY035446.1,40,-89,2007-01-01
taxid569206_CY035428.1,46,-94,2006-01-01
taxid187161_AF455723.1,40,-80.83,2001-01-01
taxid187162_AF455724.1,35.5,-80,2001-01-01
taxid187163_AF455725.1,35.5,-80,2001-01-01
taxid187164_AF455726.1,46,-94,2000-01-01
taxid187167_AF455729.1,40,-89,2001-01-01
taxid187168_AF455730.1,40,-89,2001-01-01
taxid187171_AF455727.1,42.93,-93,2001-01-01
taxid345582_DQ145544.1,46,-94,2004-01-01
taxid133773_AF251413.1,42.93,-93,1999-01-01
taxid133774_AF251421.1,42.93,-93,1999-01-01
taxid133775_AF251429.1,46,-94,1999-01-01
taxid133776_AF251405.1,41.5,-100,1998-01-01
taxid442957_EF551051.1,35.5,-80,2003-01-01
