strain_name,latitude,longitude,date
1977_1029_fG046U,58.38750000,-134.63083333,1977-12-12
1994_1050_fG002U,48.64944,-121.69789,1994-12-12
1982_1103_fG010M,42.673800,-114.770300,1982-12-12
1993_1104_fG009M,42.65861,-114.64944,1993-12-12
1991_1122_fG079M,42.70306,-114.82611,1991-12-12
1991_1132_fG119M,42.70306,-114.82611,1991-12-12
1991_1141_fG107M,42.70306,-114.82611,1991-12-12
1995_1268_fG111M,45.954372,-122.564077,1995-12-12
1980_1273_fG007M,45.937027,-122.616777,1980-12-12
2002_1305_fG110M,45.6326,-121.9609,2002-12-12
1975_1642_fG001U,44.605682,-121.276588,1975-12-12
2007_1685_fG110M,45.017197,-123.938423,2007-12-12
2008_3344_fG110M,46.979868,-123.742087,2008-12-12
2009_3413_fG168M,47.145423,-123.400497,2009-12-12
2008_3541_fG168M,46.979868,-123.742087,2008-12-12
2009_3571_fG139M,46.507402,-116.3131969,2009-12-12
2009_3640_fG110M,45.954372,-122.564077,2009-12-12
2009_3643_fG110M,46.016392,-122.732933,2009-12-12
2009_3648_fG139M,47.9369,-124.4476,2009-12-12
2008_3691_fG110M,47.2328,-123.9875,2008-12-12
2008_3692_fG110M,47.2328,-123.9875,2008-12-12
2010_3706_fG110M,47.2328,-123.9875,2010-12-12
2010_3726_fG110M,47.2328,-123.9875,2010-12-12
2010_3734_fG139M,47.787037,-124.281635,2010-12-12
2010_4346_fG110M,47.2328,-123.9875,2010-12-12
2010_4349_fG110M,46.016392,-122.732933,2010-12-12
2008_3719_fG110M,47.2328,-123.9875,2008-12-12
