strain_name,latitude,longitude
taxid11397,38,-98
taxid121431,1.367,103.8
taxid121432,1.367,103.8
taxid121434,-19,29
taxid121435,54,-4.5
taxid121436,27,30
taxid121437,54,-4.5
taxid121438,54,-4.5
taxid121439,-30,26
taxid121440,54,-4.5
taxid121441,52.5,5.75
taxid121442,54,-4.5
taxid121443,42.833,12.833
taxid121444,23.5,121
taxid121445,23,-102
taxid121446,42.833,12.833
taxid121447,42.833,12.833
taxid121448,30,70
taxid121449,-25,135
taxid121450,30,70
taxid121451,-25,135
taxid121452,30,70
taxid121453,54,-4.5
taxid121454,54,-4.5
taxid121455,54,-4.5
taxid121456,54,-4.5
taxid121457,54,-4.5
taxid121458,54,-4.5
taxid121459,54,-4.5
taxid121460,-30,26
taxid121536,24,54
taxid159194,42.833,12.833
taxid159195,42.833,12.833
taxid159196,42.833,12.833
taxid159197,42.833,12.833
taxid159198,42.833,12.833
taxid159199,42.833,12.833
taxid159200,42.833,12.833
taxid159201,42.833,12.833
taxid159202,42.833,12.833
taxid159203,42.833,12.833
taxid159204,42.833,12.833
taxid159205,42.833,12.833
taxid159207,42.833,12.833
taxid159209,42.833,12.833
taxid159210,42.833,12.833
taxid159215,42.833,12.833
taxid159216,42.833,12.833
taxid159217,42.833,12.833
taxid159219,42.833,12.833
taxid159222,42.833,12.833
taxid159223,42.833,12.833
taxid159225,42.833,12.833
taxid159226,42.833,12.833
taxid159227,42.833,12.833
taxid159228,42.833,12.833
taxid159229,42.833,12.833
taxid159230,42.833,12.833
taxid159231,42.833,12.833
taxid159233,42.833,12.833
taxid170844,38,-98
taxid170848,38,-98
taxid170849,38,-98
taxid173719,42.833,12.833
taxid192000,38,-98
taxid192001,60,-96
taxid192002,60,-96
taxid192003,60,-96
taxid192004,35,105
taxid192007,-42,174
taxid192008,60,-96
taxid198311,42.833,12.833
taxid199442,42.833,12.833
taxid200393,42.833,12.833
taxid200394,42.833,12.833
taxid200395,42.833,12.833
taxid200396,42.833,12.833
taxid200397,42.833,12.833
taxid200398,42.833,12.833
taxid200608,42.833,12.833
taxid200610,42.833,12.833
taxid200611,42.833,12.833
taxid200612,42.833,12.833
taxid217828,-10,-55
taxid217829,47,8
taxid217831,54,-4.5
taxid217833,38,-98
taxid217834,38,-98
taxid217835,54,-4.5
taxid217836,38,-98
taxid217837,54,-4.5
taxid222719,60,-96
taxid226617,38,-98
taxid226618,38,-98
taxid226619,38,-98
taxid226620,38,-98
taxid226621,38,-98
taxid226622,38,-98
taxid226623,38,-98
taxid226624,38,-98
taxid226625,38,-98
taxid226626,38,-98
taxid226627,38,-98
taxid226628,38,-98
taxid226629,38,-98
taxid226630,38,-98
taxid226632,38,-98
taxid226633,38,-98
taxid226634,38,-98
taxid226635,38,-98
taxid226636,38,-98
taxid226637,38,-98
taxid226638,38,-98
taxid226639,38,-98
taxid226640,38,-98
taxid226641,38,-98
taxid226642,38,-98
taxid226643,38,-98
taxid226644,38,-98
taxid226645,38,-98
taxid226647,38,-98
taxid226648,38,-98
taxid226649,38,-98
taxid226650,38,-98
taxid226652,38,-98
taxid226653,38,-98
taxid226654,38,-98
taxid226655,38,-98
taxid226656,38,-98
taxid226657,38,-98
taxid226658,38,-98
taxid226659,38,-98
taxid226660,38,-98
taxid226662,38,-98
taxid226664,38,-98
taxid227295,38,-98
taxid227298,38,-98
taxid228078,38,-98
taxid244948,-31.4,-64.183
taxid244949,-31.4,-64.183
taxid244950,-31.4,-64.183
taxid244951,-31.4,-64.183
taxid244952,-31.4,-64.183
taxid244953,-31.4,-64.183
taxid247487,-31.4,-64.183
taxid251297,52.5,5.75
taxid251298,52.5,5.75
taxid251306,52.5,5.75
taxid251307,52.5,5.75
taxid251308,52.5,5.75
taxid258962,51.5,10.5
taxid260806,52.5,5.75
taxid265120,42.833,12.833
taxid265121,42.833,12.833
taxid265122,42.833,12.833
taxid267381,60,-96
taxid273683,60,-96
taxid278129,54,-4.5
taxid278189,42.833,12.833
taxid278190,42.833,12.833
taxid279384,42.833,12.833
taxid279386,42.833,12.833
taxid279398,42.833,12.833
taxid279570,60,-96
taxid283366,60,-96
taxid284241,60,-96
taxid284523,60,-96
taxid285967,60,-96
taxid290499,35,105
taxid290500,54,-4.5
taxid292723,-25,135
taxid292791,60,-96
taxid293052,60,-96
taxid293181,60,-96
taxid293322,60,-96
taxid293820,60,-96
taxid294371,60,-96
taxid302450,22.25,114.167
taxid304341,38,-98
taxid304342,38,-98
taxid304343,38,-98
taxid326199,22.25,114.167
taxid329578,60.617,15.667
taxid329579,60.617,15.667
taxid329580,60.617,15.667
taxid329581,60.617,15.667
taxid329582,60.617,15.667
taxid329583,60.617,15.667
taxid329584,60.617,15.667
taxid329585,60.617,15.667
taxid329586,60.617,15.667
taxid329587,60.617,15.667
taxid329588,60.617,15.667
taxid329589,60.617,15.667
taxid329590,60.617,15.667
taxid329591,60.617,15.667
taxid329592,60.617,15.667
taxid338846,42.833,12.833
taxid338858,42.833,12.833
taxid338859,42.833,12.833
taxid342184,38,-98
taxid348297,32,53
taxid351918,60,-96
taxid352515,52.5,5.75
taxid352523,42.833,12.833
taxid352544,22.25,114.167
taxid352555,35,105
taxid352607,60,-96
taxid352609,38,-98
taxid352610,38,-98
taxid352613,60,-96
taxid352618,60,-96
taxid352620,60,-96
taxid352699,38,-98
taxid375733,51.5,10.5
taxid375734,51.5,10.5
taxid375735,51.5,10.5
taxid375737,-25,135
taxid375738,-30,26
taxid375740,-30,26
taxid375741,51.5,10.5
taxid375742,51.5,10.5
taxid375744,38,-98
taxid378154,38,-98
taxid378155,38,-98
taxid378156,38,-98
taxid378158,38,-98
taxid380283,54,-4.5
taxid380284,54,-4.5
taxid380337,49.75,15
taxid380340,54,-4.5
taxid380986,51.5,10.5
taxid380988,51.5,10.5
taxid381509,-25,135
taxid382787,54,-4.5
taxid383314,38,-98
taxid384493,38,-98
taxid385636,38,-98
taxid386312,-17,-65
taxid387258,51.5,10.5
taxid392810,51.5,10.5
taxid393172,42.833,12.833
taxid393173,42.833,12.833
taxid393175,42.833,12.833
taxid393176,42.833,12.833
taxid393177,42.833,12.833
taxid393178,42.833,12.833
taxid397292,38,-98
taxid399790,38,-98
taxid399791,38,-98
taxid402447,60,-96
taxid402476,38,-98
taxid402489,38,-98
taxid402490,38,-98
taxid402497,38,-98
taxid402516,38,-98
taxid402518,60,-96
taxid402519,42.833,12.833
taxid402521,-31.4,-64.183
taxid402522,30,70
taxid402523,51.5,10.5
taxid402526,54,-4.5
taxid404573,52.5,5.75
taxid414453,42.833,12.833
taxid428675,54,-4.5
taxid428676,54,-4.5
taxid431913,42.833,12.833
taxid431914,42.833,12.833
taxid431915,42.833,12.833
taxid431916,42.833,12.833
taxid431917,42.833,12.833
taxid431918,42.833,12.833
taxid433438,42.833,12.833
taxid433439,42.833,12.833
taxid433440,42.833,12.833
taxid433441,42.833,12.833
taxid433442,42.833,12.833
taxid433591,42.833,12.833
taxid434337,42.833,12.833
taxid434338,42.833,12.833
taxid434339,42.833,12.833
taxid434340,42.833,12.833
taxid434342,42.833,12.833
taxid434343,42.833,12.833
taxid434344,42.833,12.833
taxid437360,-25,135
taxid437361,-25,135
taxid437364,-25,135
taxid437367,38,-98
taxid437368,38,-98
taxid437369,38,-98
taxid437370,38,-98
taxid437371,38,-98
taxid437372,38,-98
taxid437373,38,-98
taxid437374,38,-98
taxid437376,38,-98
taxid437377,38,-98
taxid437378,38,-98
taxid437379,38,-98
taxid437380,38,-98
taxid437383,38,-98
taxid437384,38,-98
taxid437387,38,-98
taxid437388,38,-98
taxid437389,38,-98
taxid437390,38,-98
taxid437391,42.833,12.833
taxid437392,42.833,12.833
taxid437399,42.833,12.833
taxid437400,42.833,12.833
taxid437401,42.833,12.833
taxid437402,42.833,12.833
taxid437404,42.833,12.833
taxid437405,42.833,12.833
taxid437427,38,-98
taxid437431,38,-98
taxid437432,38,-98
taxid440591,38,-98
taxid441963,22.25,114.167
taxid444824,38,-98
taxid444825,38,-98
taxid444826,38,-98
taxid444827,38,-98
taxid444828,38,-98
taxid444829,38,-98
taxid444830,38,-98
taxid444833,38,-98
taxid444834,38,-98
taxid444835,38,-98
taxid444836,38,-98
taxid444837,38,-98
taxid444838,38,-98
taxid444839,38,-98
taxid444840,38,-98
taxid444841,38,-98
taxid444842,38,-98
taxid444843,38,-98
taxid444844,38,-98
taxid444845,38,-98
taxid444846,38,-98
taxid445256,54,-4.5
taxid445366,42.833,12.833
taxid445368,42.833,12.833
taxid445369,42.833,12.833
taxid445370,42.833,12.833
taxid445371,42.833,12.833
taxid445373,42.833,12.833
taxid445375,42.833,12.833
taxid445376,42.833,12.833
taxid445377,42.833,12.833
taxid445378,42.833,12.833
taxid445379,42.833,12.833
taxid445380,42.833,12.833
taxid445381,42.833,12.833
taxid445382,42.833,12.833
taxid445383,42.833,12.833
taxid445384,42.833,12.833
taxid450015,54,-4.5
taxid451801,60,-96
taxid451802,38,-98
taxid454446,38,-98
taxid455039,38,-98
taxid455040,38,-98
taxid475495,38,-98
taxid475508,42.833,12.833
taxid475510,42.833,12.833
taxid475511,42.833,12.833
taxid475512,42.833,12.833
taxid475516,42.833,12.833
taxid475518,42.833,12.833
taxid475519,42.833,12.833
taxid475522,42.833,12.833
taxid475527,42.833,12.833
taxid475588,38,-98
taxid487493,42.833,12.833
taxid487494,42.833,12.833
taxid487495,35,105
taxid487496,35,105
taxid487497,35,105
taxid487498,35,105
taxid487499,42.833,12.833
taxid487500,42.833,12.833
taxid487501,42.833,12.833
taxid487502,42.833,12.833
taxid487503,42.833,12.833
taxid487504,42.833,12.833
taxid490391,38,-98
taxid490392,38,-98
taxid490393,38,-98
taxid490394,38,-98
taxid490395,38,-98
taxid490396,38,-98
taxid490397,38,-98
taxid490398,38,-98
taxid490400,38,-98
taxid490401,38,-98
taxid490402,38,-98
taxid490404,38,-98
taxid490405,38,-98
taxid490406,38,-98
taxid490407,38,-98
taxid490408,38,-98
taxid490410,38,-98
taxid490411,38,-98
taxid490412,38,-98
taxid490413,38,-98
taxid490414,38,-98
taxid490417,38,-98
taxid490418,38,-98
taxid490419,38,-98
taxid490420,38,-98
taxid490423,38,-98
taxid490426,38,-98
taxid490430,38,-98
taxid490431,38,-98
taxid490432,38,-98
taxid490433,38,-98
taxid490434,38,-98
taxid490435,38,-98
taxid490436,38,-98
taxid490437,38,-98
taxid490438,38,-98
taxid490439,38,-98
taxid490440,38,-98
taxid490443,38,-98
taxid490444,38,-98
taxid490445,38,-98
taxid490446,38,-98
taxid490447,38,-98
taxid490449,38,-98
taxid490450,38,-98
taxid490451,38,-98
taxid490452,38,-98
taxid490453,38,-98
taxid490455,38,-98
taxid490456,38,-98
taxid490457,38,-98
taxid490459,38,-98
taxid490460,38,-98
taxid490461,38,-98
taxid490462,38,-98
taxid490466,38,-98
taxid490469,38,-98
taxid490471,38,-98
taxid490472,38,-98
taxid490473,38,-98
taxid490474,38,-98
taxid490475,38,-98
taxid490476,38,-98
taxid490477,38,-98
taxid490478,38,-98
taxid490480,38,-98
taxid490481,38,-98
taxid490482,38,-98
taxid490485,38,-98
taxid490486,38,-98
taxid490487,38,-98
taxid490489,38,-98
taxid498207,42.833,12.833
taxid500685,-31.4,-64.183
taxid500687,-10,-55
taxid500688,-31.4,-64.183
taxid505211,60,-96
taxid505212,60,-96
taxid505213,60,-96
taxid506251,38,-98
taxid506254,38,-98
taxid506256,38,-98
taxid506257,38,-98
taxid506259,38,-98
taxid506260,38,-98
taxid506261,38,-98
taxid506262,38,-98
taxid506264,38,-98
taxid506267,38,-98
taxid506268,38,-98
taxid506269,38,-98
taxid506271,38,-98
taxid506273,38,-98
taxid506274,38,-98
taxid506275,38,-98
taxid506276,38,-98
taxid506277,38,-98
taxid506279,38,-98
taxid506280,38,-98
taxid506281,38,-98
taxid506282,38,-98
taxid506283,38,-98
taxid506287,38,-98
taxid506288,38,-98
taxid506289,38,-98
taxid506290,38,-98
taxid506292,38,-98
taxid506293,38,-98
taxid506294,38,-98
taxid506296,38,-98
taxid506297,38,-98
taxid506298,38,-98
taxid506300,38,-98
taxid506301,38,-98
taxid506302,38,-98
taxid506303,38,-98
taxid506304,38,-98
taxid506306,38,-98
taxid519082,38,-98
