strain_name,latitude,longitude
AAUT01000059,30.688917,-88.050256
AAWE01000257,-19.8305,34.8328
ACHZ01000004,-19.8305,34.8328
CP001485,23.3459300,90.7109300
AAWD01000266,23.885942,45.079162
AE003852,23.6849940,90.3563310
CP000627,20.5936840,78.9628800
ACHX01000008,-0.023559,37.906193
AAUR01000095,-12.0930840,-77.0464910
ACFQ01000008,0.0,0.0
ACHV01000005,51.1475395,13.7145765
ACHW01000002,-22.9035393,-43.2095869
ACHY01000008,-22.9035393,-43.2095869
ACIA01000007,0.0,0.0
CP001233,-5.1454900,119.4016000
