strain_name,latitude,longitude
ACFQ01000004,0.0,0.0
AAUR01000121,-12.0930840,-77.0464910
AAUT01000034,30.688917,-88.050256
AAWG01000021,0.0,0.0
AAWE01000027,-19.8305,34.8328
ACHZ01000002,-19.8305,34.8328
ACIA01000002,0.0,0.0
CP001233,-5.1454900,119.4016000
AAUS01000003,20.5936840,78.9628800
CP001485,23.3459300,90.7109300
AAWF01000074,23.6849940,90.3563310
AAUU01000077,23.6849940,90.3563310
AAWD01000064,23.885942,45.079162
CP000627,20.5936840,78.9628800
CP001235,20.5936840,78.9628800
ACHX01000011,-0.023559,37.906193
ACHW01000012,-22.9035393,-43.2095869
ACHY01000008,-22.9035393,-43.2095869
AAKJ02000149,12.8628070,30.2176360
ACHV01000001,51.1475395,13.7145765
AE003852,23.6849940,90.3563310
