strain_name,latitude,longitude,date
AB051334,3.1328934,101.696,1997-07-08
AB081368,35.4436,139.638,1990-07-08
AB126217,35.4436,139.638,2003-07-08
AB247297,37.75,140.4668,1993-07-08
AB247298,37.75,140.4668,1996-07-08
AB247299,37.75,140.4668,2003-07-08
AB247300,37.75,140.4668,2003-07-08
AB247301,37.75,140.4668,2003-07-08
AB247326,37.75,140.4668,2003-07-08
AB550340,3.1328934,101.696,1997-07-08
AB550341,3.1328934,101.696,1997-07-08
AB575935,52.367935,4.900364,1991-07-08
AB575936,52.367935,4.900364,1991-07-08
AB575937,52.367935,4.900364,2001-07-08
AB575938,52.367935,4.900364,2010-07-08
AH012706,3.1328934,101.696,2002-07-08
AJ300757,51.499183,-0.12464066,2000-07-08
AJ300759,51.499183,-0.12464066,1999-07-08
AM696274,48.861751,2.3186617,2006-07-08
AY123942,38.897159,-77.036207,1987-07-08
AY123947,38.897159,-77.036207,1994-07-08
AY123948,38.897159,-77.036207,1995-07-08
AY125986,1.2891639,103.8505,1998-07-08
AY125998,3.1328934,101.696,1998-07-08
AY125999,3.1328934,101.696,1998-07-08
AY126000,3.1328934,101.696,1998-07-08
AY126003,3.1328934,101.696,2000-07-08
AY126014,-35.308236,149.12515,2000-07-08
AY189153,3.1328934,101.696,2002-07-08
AY794034,3.1328934,101.696,2003-07-08
AY794035,3.1328934,101.696,2003-07-08
AY794036,3.1328934,101.696,2003-07-08
AY794038,3.1328934,101.696,2003-07-08
AY794039,3.1328934,101.696,2003-07-08
AY794040,3.1328934,101.696,2003-07-08
DQ341358,3.1328934,101.696,2000-07-08
DQ341359,3.1328934,101.696,1998-07-08
DQ341360,3.1328934,101.696,2001-07-08
DQ341361,-35.308236,149.12515,2000-07-08
DQ452074,59.916569,10.728791,2003-07-08
EU051089,21.039311,105.83415,2005-07-08
EU051092,21.039311,105.83415,2005-07-08
EU925770,3.1328934,101.696,2006-07-08
EU925774,3.1328934,101.696,2003-07-08
