strain_name,latitude,longitude
taxid217837,52.2,0.12
taxid217836,42.32,-83.03
taxid217835,52.2,0.12
taxid217834,42.32,-83.03
taxid380340,51.52,-0.08
taxid217831,52.25,0.42
taxid380337,50.1,14.43
taxid217829,47,8
taxid217828,-23.55,-23.55
taxid260806,52.5000,5.75
taxid385636,44,-120
taxid392810,54.1,12.15
taxid387194,-34.25,41.5
taxid387251,-34.25,41.5
taxid384493,42.25,71.8333
taxid387258,54.1,12.15
taxid382787,51.37,-0.47
taxid292723,-34.25,41.5
taxid375738,-30,26
taxid375734,51.33,12.33
taxid352544,22.25,114.18
taxid402526,53,-2
taxid375737,-34.25,41.5
taxid375740,-30,26
taxid375735,52.45,14.25
taxid375744,46,-94
taxid375741,52.4,13.0667
taxid451802,35.5000,-80
taxid375733,50.93,11.58
taxid375742,52.4,13.0667
taxid380988,51.33,12.33
taxid402523,51.33,12.33
taxid380986,51.33,12.33
taxid380284,53,-2
taxid380283,53,-8
taxid394075,20.3333,-103.6667
taxid87495,40,-75
taxid87497,43,-75
taxid402497,43,-75
taxid87501,43,-75
taxid87502,43,-75
taxid87503,41.67,-71.5
taxid87504,43,-75
taxid87512,39,-105
taxid87513,35,-93
taxid87514,40,-110
taxid290500,53,-2
taxid121448,30,70
taxid121449,-34.25,41.5
taxid121431,1.3667,103.8
taxid121432,1.3667,103.8
taxid121450,30,70
taxid121451,-15,143
taxid121452,30,70
taxid121434,-19,29
taxid121445,23,-102
taxid121435,53,-2
taxid121436,27,30
taxid121455,53,-8
taxid121456,53,-2
taxid121437,53,-2
taxid121446,42.83,12.83
taxid121438,53,-2
taxid121439,-30,26
taxid121454,53,-2
taxid121457,53,-8
taxid121458,53,-2
taxid121447,42.83,12.83
taxid121440,53,-2
taxid121459,53,-2
taxid121441,52.5000,5.75
taxid121442,53,-8
taxid121460,-30,26
taxid121536,24,54
taxid121443,42.83,12.83
taxid121444,23.5,121
taxid437402,42.83,12.83
taxid159194,42.83,12.83
taxid159195,42.83,12.83
taxid159196,42.83,12.83
taxid159197,42.83,12.83
taxid159198,42.83,12.83
taxid159199,42.83,12.83
taxid159200,42.83,12.83
taxid159201,42.83,12.83
taxid159202,42.83,12.83
taxid159226,42.83,12.83
taxid159203,42.83,12.83
taxid159217,42.83,12.83
taxid159219,42.83,12.83
taxid265122,42.83,12.83
taxid159204,42.83,12.83
taxid159205,42.83,12.83
