strain_name,latitude,longitude,date
AF136986,-24.25,31.833332,1985-11-21
AF136987,-24.450001,31.433332,1988-10-10
AF136988,-24.466667,31.4,1988-10-07
AF136989,-24.450001,31.5,1988-10-11
AF136990,-24.433332,31.466667,1988-10-25
AF136991,-24.216667,31.716667,1989-04-30
AF136992,-24.383333,31.716667,1992-08-03
AF136993,-24.266666,31.633333,1992-08-03
AF136994,-24.4,31.833332,1992-08-03
AF136995,-24.783333,31.85,1993-08-26
AF136996,-25.299999,31.766666,1995-11-29
AF136997,-25.383333,31.683332,1995-12-02
AF136998,-25.299999,31.766666,1995-12-02
AF136999,-25.383333,31.683332,1995-12-02
AF137000,-24.9,31.966667,1988-07-08
AF137001,-24.9,31.966667,1988-07-08
AF137002,-24.799999,31.833332,1988-05-27
AF137003,-24.799999,31.833332,1988-05-27
AF137004,-24.733334,31.616667,1988-10-19
AF137005,-24.733334,31.616667,1989-10-25
AF137006,-24.783333,31.6,1989-10-24
AF137007,-24.733334,31.616667,1989-10-25
AF137008,-24.4,31.783333,1991-06-20
AF137009,-23.966667,31.333332,1991-07-19
AF137010,-23.966667,31.333332,1991-07-13
AF137011,-23.983334,31.566668,1991-07-18
AF137012,-25.133333,31.933332,1991-07-24
AF137013,-22.9,31.283333,1992-06-22
AF137014,-23.016666,31.333332,1992-08-17
AF137015,-23.483334,31.433332,1992-08-06
AF137016,-24.566668,31.633333,1995-11-16
AF137017,-24.566668,31.633333,1995-11-16
AF137018,-25.233334,32.016666,1996-04-17
AF137019,-23.950001,31.299999,1996-06-29
AF367102,-23.966667,31,2003-03-01
AF367103,-24.9,31.966667,2003-03-01
AF367104,-24.450001,31.6,2003-03-01
AF367105,-24.466667,31.4,2003-03-01
AF367106,-24.450001,31.5,2003-03-01
AF367107,-24.433332,31.466667,2003-03-01
AF367109,-24.216667,31.716667,2003-03-01
AF367110,-24.733334,31.616667,2003-03-01
AF367112,-25.133333,31.933332,2003-03-01
AF367114,-24.383333,31.716667,2003-03-01
AF367115,-22.9,31.283333,2003-03-01
AF367118,-24.566668,31.633333,2003-03-01
AF367119,-24.566668,31.633333,2003-03-01
AF367138,-24.466667,31.4,2003-03-01
