strain_name,latitude,longitude,date
taxid284211,22.25,114.18,2004-01-01
taxid336232,30.9,101.04,2005-01-01
taxid336233,30.9,101.04,2005-01-01
taxid336234,30.9,101.04,2005-01-01
taxid336235,30.9,101.04,2005-01-01
taxid336236,30.9,101.04,2005-01-01
taxid336237,30.9,101.04,2005-01-01
taxid336238,30.9,101.04,2005-01-01
taxid336239,30.9,101.04,2005-01-01
taxid336240,30.9,101.04,2005-01-01
taxid336241,30.9,101.04,2005-01-01
taxid336242,30.9,101.04,2005-01-01
taxid336243,30.9,101.04,2005-01-01
taxid344595,46,105,2005-01-01
taxid344596,46,105,2005-01-01
taxid345295,30.9,101.04,2005-01-01
taxid353252,55.04,82.93,2005-01-01
taxid353253,55.04,82.93,2005-01-01
taxid363744,55.11,43.16,2005-01-01
taxid365068,26.55,117.84,2005-01-01
taxid365069,26.55,117.84,2005-01-01
taxid365091,24,109,2005-01-01
taxid365092,24,109,2005-01-01
taxid365094,23.12,113.25,2005-01-01
taxid365108,28.97,117.92,2005-01-01
taxid367062,51.49,92.53,2005-01-01
taxid368859,51.49,92.53,2005-01-01
taxid369437,51.49,92.53,2005-01-01
taxid369438,51.49,92.53,2005-01-01
taxid370832,51.49,92.53,2005-01-01
taxid370848,51.49,92.53,2005-01-01
taxid372483,51.49,92.53,2005-01-01
taxid373035,16,8,2006-01-01
taxid373132,51.49,92.53,2005-01-01
taxid373513,42.83,12.83,2006-01-01
taxid374074,51.49,92.53,2005-01-01
taxid374595,51.49,92.53,2005-01-01
taxid375457,39,35,2005-01-01
taxid375753,32,53,2006-01-01
taxid376709,42.83,12.83,2006-01-01
taxid376721,55.11,43.16,2005-01-01
taxid376722,55.11,43.16,2005-01-01
taxid378547,51.5,10.5,2006-01-01
taxid385215,16,8,2006-01-01
taxid385216,16,8,2006-01-01
taxid385217,16,8,2006-01-01
taxid385218,16,8,2006-01-01
taxid385219,16,8,2006-01-01
taxid385220,16,8,2006-01-01
taxid386438,51.5,10.5,2006-01-01
taxid387904,16,8,2006-01-01
taxid388110,33,65,2006-01-01
taxid391628,46,105,2006-01-01
taxid391955,45,34,2005-01-01
taxid392001,30.9,101.04,2006-01-01
taxid392002,30.9,101.04,2006-01-01
taxid392003,30.9,101.04,2006-01-01
taxid394194,56.65,71.85,2006-01-01
taxid394195,56.65,71.85,2006-01-01
taxid394327,31.5,34.75,2006-01-01
taxid394329,31.5,34.75,2006-01-01
taxid395335,27,30,2006-01-01
taxid395337,15,30,2006-01-01
taxid395338,15,30,2006-01-01
taxid395339,27,30,2006-01-01
taxid397458,55.04,82.93,2005-01-01
taxid399312,56.65,71.85,2006-01-01
taxid400253,16,8,2006-01-01
taxid400254,16,8,2006-01-01
taxid400256,42.83,12.83,2006-01-01
taxid400257,8,-5,2006-01-01
taxid400258,8,-5,2006-01-01
taxid400259,15,30,2006-01-01
taxid400260,15,30,2006-01-01
taxid400261,45.17,15.5,2005-01-01
taxid400262,46.25,15.17,2006-01-01
taxid400283,16,8,2006-01-01
taxid400284,16,8,2006-01-01
