strain_name,latitude,longitude,date
EPI176504,35.37,-119.02,2009-04-09
EPI176620,35.37,-119.02,2009-04-09
EPI177391,40.71,-74.01,2009-04-01
EPI177659,-36.85,174.78,2009-04-24
EPI178375,30.27,-97.74,2009-04-25
EPI178391,40.00,-86.25,2009-04-22
EPI178414,34.00,-81.00,2009-04-26
EPI178419,34.50,-111.50,2009-04-26
EPI178428,23.00,-102.00,2009-04-19
EPI178432,40.25,-83.00,2009-04-24
EPI178472,-36.85,174.78,2009-04-01
EPI178487,30.27,-97.74,2009-04-15
EPI178514,-43.50,171.50,2009-04-29
EPI178999,49.25,-84.50,2009-05-01
EPI179001,23.00,-102.00,2009-05-01
EPI179002,60.00,-96.00,2009-05-01
EPI179080,23.00,-102.00,2009-04-02
EPI179110,23.00,-102.00,2009-04-20
EPI179147,40.17,-74.50,2009-04-01
EPI179154,40.71,-74.01,2009-04-01
EPI179155,40.71,-74.01,2009-04-01
EPI179173,40.71,-74.01,2009-04-25
EPI179229,-36.85,174.78,2009-04-25
EPI179268,39.11,-94.63,2009-04-24
EPI179284,40.71,-74.01,2009-04-25
EPI179286,40.71,-74.01,2009-04-25
EPI179305,40.71,-74.01,2009-04-01
EPI179307,40.71,-74.01,2009-04-01
EPI179332,38.90,-77.04,2009-07-02
EPI180067,35.75,-86.25,2009-05-01
EPI180235,64.00,26.00,2009-05-10
EPI180522,40.70,-73.80,2009-04-27
EPI180557,48.85,2.35,2009-04-29
EPI180589,34.50,-111.50,2009-04-27
EPI180592,35.37,-119.02,2009-04-24
EPI180599,39.00,-75.50,2009-04-28
EPI180607,41.50,-99.75,2009-04-01
EPI180622,34.00,-81.00,2009-04-26
EPI180626,30.27,-97.74,2009-04-14
EPI180717,35.69,139.75,2009-05-16
EPI181057,40.71,-74.01,2009-05-01
EPI181355,59.50,18.00,2009-05-08
EPI181363,53.48,-2.24,2009-04-30
EPI181725,40.70,-73.80,2009-04-28
EPI181733,45.46,9.19,2009-05-21
EPI181744,10.00,-84.00,2009-04-28
EPI181751,34.00,-81.00,2009-04-26
EPI181812,40.71,-74.01,2009-04-25
EPI181824,40.71,-74.01,2009-04-25
EPI181843,35.37,-119.02,2009-05-09
EPI181845,39.91,116.40,2009-05-23
EPI181863,-37.81,144.96,2009-05-19
EPI181865,-31.93,115.83,2009-05-26
EPI181878,48.85,2.35,2009-05-01
EPI182416,23.36,116.68,2009-05-29
EPI182533,31.22,121.46,2009-05-31
EPI182785,40.83,-73.92,2009-05-01
EPI182863,35.69,139.75,2009-05-21
EPI182865,35.25,136.00,2009-05-22
EPI182904,23.36,116.68,2009-05-18
EPI182905,51.83,-0.25,2009-05-09
EPI182963,32.06,118.78,2009-06-18
EPI182977,35.37,-119.02,2009-04-01
EPI183017,35.69,139.75,2009-06-02
EPI183166,38.20,-84.88,2009-05-01
EPI183209,44.25,-85.50,2009-05-01
EPI183643,30.26,120.17,2009-05-31
EPI183818,40.70,-73.80,2009-05-06
EPI184340,39.00,-75.50,2009-04-28
EPI184541,1.37,103.80,2009-06-15
EPI184853,59.50,18.00,2009-05-29
