strain_name,latitude,longitude,date
taxid173717,46,2,1987-01-01
taxid394226,51.5,10.5,1991-01-01
EPI176591,23,-102,2009-01-01
EPI176596,23,-102,2009-01-01
EPI176599,23,-102,2009-01-01
EPI176600,23,-102,2009-01-01
EPI176605,23,-102,2009-01-01
EPI176607,23,-102,2009-01-01
EPI176619,37,-119,2009-01-01
EPI176623,37,-119,2009-01-01
EPI176626,37,-119,2009-01-01
EPI176628,37,-119,2009-01-01
EPI177273,37,-119,2009-01-01
EPI177277,-37,175,2009-01-01
EPI177279,-37,175,2009-01-01
EPI177281,-37,175,2009-01-01
EPI177287,23,-102,2009-01-01
EPI177298,30,-100,2009-01-01
EPI177306,30,-100,2009-01-01
taxid231851,22.25,114.17,1999-01-01
taxid411157,15,100,2005-01-01
taxid596489,40,-4,2008-01-01
taxid641501,37,-119,2009-01-01
taxid641807,37,-119,2009-01-01
taxid641808,37,-119,2009-01-01
taxid641809,37,-119,2009-01-01
taxid641810,37,-119,2009-01-01
taxid641811,30,-100,2009-01-01
taxid641812,30,-100,2009-01-01
taxid642261,37,-119,2009-01-01
taxid642262,37,-119,2009-01-01
taxid642494,40.02,12.1,2009-01-01
taxid642795,-36.92,174.78,2009-01-01
taxid642796,-36.92,174.78,2009-01-01
taxid643410,47,8,2009-01-01
EPI176549,42.83,12.83,2006-01-01
EPI176561,42.83,12.83,2006-01-01
taxid157800,48.33,-4,1982-01-01
taxid158307,48.41,-2.66,1999-01-01
taxid158642,52.5,5.75,1980-01-01
taxid169160,48.16,-1.58,1999-01-01
taxid169161,42.83,12.83,1999-01-01
taxid169162,48.41,-2.66,1997-01-01
taxid169163,42.83,12.83,2000-01-01
taxid169166,42.83,12.83,1998-01-01
taxid169167,42.83,12.83,1999-01-01
taxid169169,48.41,-2.66,1999-01-01
taxid170342,42.83,12.83,1999-01-01
taxid170343,42.83,12.83,1998-01-01
taxid170344,42.83,12.83,1998-01-01
taxid231858,42.83,12.83,1998-01-01
taxid253675,22.25,114.17,2002-01-01
taxid253676,22.25,114.17,2002-01-01
taxid253682,22.25,114.17,1999-01-01
taxid253683,22.25,114.17,1999-01-01
taxid253684,22.25,114.17,1999-01-01
taxid253687,22.25,114.17,2000-01-01
taxid253689,22.25,114.17,2001-01-01
taxid253690,22.25,114.17,2001-01-01
taxid273028,51.03,3.7,1984-01-01
taxid291626,51.5,10.5,1992-01-01
taxid336205,52.73,8.21,1995-01-01
taxid336206,52.13,12.6,2001-01-01
taxid336207,52.73,8.21,2000-01-01
taxid336372,52.4,13.06,1981-01-01
taxid336373,53.63,11.41,1989-01-01
taxid349256,52.73,8.21,2000-01-01
taxid349258,52.73,8.21,1999-01-01
taxid349261,51.33,12.33,1992-01-01
taxid349262,52.67,8.25,1997-01-01
taxid374437,40,-4,2002-01-01
taxid374438,40,-4,2002-01-01
taxid374441,40,-4,2003-01-01
taxid374442,40,-4,2003-01-01
taxid374443,40,-4,2004-01-01
taxid380347,52.5,5.75,1985-01-01
taxid384486,51.5,10.5,1981-01-01
taxid394224,51.5,10.5,1991-01-01
taxid412464,50.93,11.58,1996-01-01
taxid441583,37,-80,1987-01-01
taxid441584,37,-80,1987-01-01
taxid446024,52.73,8.21,1993-01-01
taxid447885,51.5,10.5,2006-01-01
taxid456883,52.93,8.38,2005-01-01
taxid456884,52.86,8.03,2005-01-01
taxid487071,51.5,10.5,1995-01-01
taxid487072,51.5,10.5,1997-01-01
taxid487073,51.5,10.5,2002-01-01
taxid487074,51.5,10.5,1995-01-01
taxid487075,51.5,10.5,2000-01-01
taxid488881,13.7,101.08,2005-01-01
taxid488885,13.37,100.98,2005-01-01
taxid488888,13.5,99.83,2005-01-01
taxid488890,14.56,100.91,2005-01-01
taxid519831,13.55,99.71,2000-01-01
taxid519832,13.55,99.71,2003-01-01
taxid519833,13.37,100.98,2004-01-01
taxid519834,13.37,100.98,2004-01-01
taxid519835,13.7,101.08,2003-01-01
taxid519836,17.41,102.75,2004-01-01
taxid522724,51.5,10.5,2006-01-01
taxid522725,52.73,8.21,1998-01-01
taxid522726,52.13,12.6,2001-01-01
taxid522727,52.5,13.41,2002-01-01
taxid522728,52.51,9.77,2003-01-01
taxid522730,52.93,8.38,2006-01-01
taxid522731,48.53,13.07,2005-01-01
taxid522732,51.5,10.5,2003-01-01
taxid522733,51.52,6.32,2004-01-01
taxid522734,51.03,3.7,1992-01-01
taxid522736,51.5,10.5,2004-01-01
taxid522737,51.5,10.5,2004-01-01
taxid522738,51.17,9.35,2004-01-01
taxid522739,51.17,9.35,2004-01-01
taxid522740,52.5,9,1981-01-01
taxid522742,52.68,7.5,2003-01-01
taxid522747,51.5,10.5,2003-01-01
taxid522748,51.5,10.5,2005-01-01
taxid522749,52.05,7.35,2005-01-01
taxid522751,51.5,10.5,2003-01-01
taxid522752,52.67,8.25,2004-01-01
taxid522753,51.5,10.5,2005-01-01
taxid522755,51.5,10.5,2003-01-01
taxid522756,51.73,7.53,2003-01-01
taxid522757,52.08,7.48,2003-01-01
taxid522758,51.5,10.5,2004-01-01
taxid522760,52.4,13.06,1981-01-01
taxid522761,52.4,13.06,1981-01-01
