strain_name,latitude,longitude,date
A_California_04_2009_H1N1,37,-119,2009-04-01
A_NewYork_18_2009_H1N1,43,-75,2009-04-25
A_Canada-ON_RV1527_2009_H1N1,50,-86,2009-04-24
A_Mexico_InDRE4487_2009_H1N1,23,-102,2009-04-14
A_Texas_09_2009_H1N1,30,-100,2009-04-25
A_NewYork_1669_2009_H1N1,41.4167,-74.3167,2009-04-26
A_Canada-NS_RV1538_2009_H1N1,45,-63,2009-01-01
A_Canada-ON_RV1526_2009_H1N1,50,-86,2009-01-01
A_Mexico_InDRE4114_2009_H1N1,23,-102,2009-01-01
A_Canada-ON_RV1529_2009_H1N1,50,-86,2009-01-01
A_Canada-AB_RV1532_2009_H1N1,55,-115,2009-01-01
A_Canada-NS_RV1536_2009_H1N1,45,-63,2009-01-01
A_NewYork_3099_2009_H1N1,40.8667,-72.8,2009-04-29
A_Mexico_4486_2009_H1N1,23,-102,2009-04-14
A_Mexico_4604_2009_H1N1,23,-102,2009-04-19
A_swine_Alberta_OTH-33-8_2009_H1N1,55,-115,2009-01-01
A_Bayern_63_2009_H1N1,48.5,11.5,2009-01-01
A_Hamburg_4_2009_H1N1,51.5,10.5,2009-01-01
A_England_195_2009_H1N1,54,-4.5,2009-04-28
A_Israel_644_2009_H1N1,31.5,34.75,2009-04-01
A_Beijing_01_2009_H1N1,39.9167,116.4333,2009-05-16
A_Sichuan_1_2009_H1N1,35,105,2009-05-10
A_Shandong_1_2009_H1N1,36,118,2009-05-10
A_Norway_1177_2009_H1N1,59.5,8.6667,2009-05-08
A_Mexico_47N_2009_H1N1,23,-102,2009-04-25
A_GuangzhouSB_01_2009_H1N1,23.10904,113.23805,2009-05-17
A_Zhejiang_1_2009_H1N1,29,120,2009-05-23
A_Shanghai_1_2009_H1N1,31.1,121.3667,2009-05-23
A_Fujian_1_2009_H1N1,26,118,2009-05-22
A_Beijing_4_2009_H1N1,39.9167,116.4333,2009-05-23
A_Moscow_02_2009_H1N1,55.75,37.7,2009-05-26
A_Italy_05_2009_H1N1,42.8333,12.8333,2009-05-03
A_BrevigMission_1_1918_H1N1,65.3333,-166.4833,1918-01-01
