strain_name,latitude,longitude,date
taxid641808,35.3732921,-119.0187125,2009-04-16
taxid641809,35.3732921,-119.0187125,2009-04-09
taxid641811,30.267153,-97.7430608,2009-04-14
taxid641812,30.267153,-97.7430608,2009-04-15
taxid642261,35.3732921,-119.0187125,2009-04-09
taxid642263,39.1141708,-94.627457,2009-04-24
taxid642264,40.7142691,-74.0059729,2009-04-25
taxid642265,40.7142691,-74.0059729,2009-04-25
taxid642266,40.2503398,-83.0001841,2009-04-24
taxid642907,43.70011379,-79.41630419,2009-04-24
taxid642913,43.70011379,-79.41630419,2009-04-01
taxid643212,52.5,5.75,2009-04-29
taxid643540,40.7142691,-74.0059729,2009-04-25
taxid643541,40.7142691,-74.0059729,2009-04-25
taxid643542,40.7142691,-74.0059729,2009-04-25
taxid643543,40.7142691,-74.0059729,2009-04-25
taxid643544,40.7142691,-74.0059729,2009-04-25
taxid643545,40.7142691,-74.0059729,2009-04-25
taxid643546,40.7142691,-74.0059729,2009-04-24
taxid643547,40.7142691,-74.0059729,2009-04-24
taxid643779,49.25013563,-84.49983432,2009-04-24
taxid643780,23,-102,2009-04-14
taxid643836,45.00015043,-62.99865299,2009-04-24
taxid643842,34.5003037,-111.5009764,2009-04-22
taxid643843,34.5003037,-111.5009764,2009-04-26
taxid643844,35.3732921,-119.0187125,2009-04-25
taxid643845,38.8338816,-104.8213634,2009-04-27
taxid643846,40.0003166,-86.2502707,2009-04-22
taxid643847,39.1141708,-94.627457,2009-04-24
taxid643848,42.365647,-71.10832214,2009-04-26
taxid643850,44.2502852,-85.500333,2009-04-26
taxid643851,46.2502448,-94.2505535,2009-04-27
taxid643852,41.5002828,-99.7506736,2009-04-27
taxid643853,40.7142691,-74.0059729,2009-04-25
taxid643854,40.7142691,-74.0059729,2009-04-25
taxid643855,40.7142691,-74.0059729,2009-04-24
taxid643856,34.0004338,-81.000091,2009-04-26
taxid643858,30.267153,-97.7430608,2009-04-24
taxid643859,30.267153,-97.7430608,2009-04-25
taxid643959,40.7142691,-74.0059729,2009-04-26
taxid643960,40.7142691,-74.0059729,2009-04-27
taxid644199,30.267153,-97.7430608,2009-04-15
taxid644289,37,127.5,2009-05-02
taxid644373,13.75,100.5,2009-05-06
taxid644374,45.00015043,-62.99865299,2009-01-01
taxid644375,49.25013563,-84.49983432,2009-01-01
taxid644376,23,-102,2009-01-01
taxid644377,49.25013563,-84.49983432,2009-01-01
taxid644378,52.28332893,-117.4690019,2009-01-01
taxid644379,45.00015043,-62.99865299,2009-01-01
taxid644641,40.7142691,-74.0059729,2009-04-27
taxid644642,40.7142691,-74.0059729,2009-04-27
taxid644643,40.7142691,-74.0059729,2009-04-27
taxid644644,40.7142691,-74.0059729,2009-04-27
taxid644645,40.7142691,-74.0059729,2009-04-27
taxid644646,40.7142691,-74.0059729,2009-04-29
