strain_name,latitude,longitude
Anabaena,0,0
YaleA,28.9144,-81.732
YaleB,28.9145,-81.7321
GriffinA,28.6798,-81.341
FLToxA,28.8,-81.6
ReeseA,36.33,-81.88
ReeseB,36.3301,-81.8801
MacKintoshA,36.049,-79.568
MacKintoshB,36.0491,-79.5681
MacKintoshC,36.0492,-79.5682
KerrA,34.6557,-78.2835
KerrB,34.6558,-78.2836
KerrC,34.6559,-78.2837
LemoncltA,39.2726,-86.4265
GlennFlintcltA,39.721,-86.9487
LemonA,39.2725,-86.4264
LemonB,39.2726,-86.4265
LemonC,39.2727,-86.4266
LemonD,39.2728,-86.4267
GlennFlintA,39.7209,-86.9486
GlennFlintB,39.721,-86.9487
GlennFlintC,39.7211,-86.9488
PrairieCreekcA,40.1462,-85.2933
PrairieCreekcB,40.1463,-85.2934
KoontzA,41.4123,-86.4883
KoontzB,41.4124,-86.4884
ManitouA,41.05,-86.1833
ManitouB,41.0501,-86.1834
GeistA,39.91,-85.9866
GeistB,39.9101,-85.9867
HardyA,38.7912,-85.7158
PotokaA,38.4348,-86.7069
PrairieCreeksA,40.1464,-85.2935
PrairieCreeksB,40.1465,-85.2936
PraireCreeksC,40.1466,-85.2937
BassA,41.22,-86.588
BassB,41.2201,-86.5881
FLDoraA,28.7864,-81.6909
FLDoraB,28.7865,-81.691
FLDoraC,28.7866,-81.6911
BrazilBil,-23.5167,-49.25
BrazilPar,-15.8333,-47.8167
AustraliaSolA,-18.75,146.58
AustraliaSolB,-18.7501,146.5801
AustraliaMcKin,-21.2667,141.3
PortugalMarau,39.3,-8
AustraliaJul,-20,140
AustraliaGoon,-21.47,147.58
GermanyA,52.32,13.25
GermanyB,52.3201,13.2501
PortugalCaia,38.97,-7.09
HungaryBalA,46.9313,18.1079
HungaryBalB,46.9314,18.108
AustraliaTownsA,-19.13,146.48
AustraliaTownsB,-19.1301,146.4801
AustraliaSyd,-33.5505,151.17
Portugalrsvr,39.17,-7.25
FLDoraD,28.7867,-81.6912
