LOC_CODE,POINT_X,POINT_Y,,
MYF352,-73.24577394530,-3.72310330475,,
TA625,-73.26771946560,-3.75279694310,,
TA062,-73.26721729530,-3.75295871471,,
TA012,-73.26648946410,-3.75314716530,,
TA521,-73.26735035900,-3.75338399080,,
TA146,-73.26803797360,-3.75455195758,,
TAB027,-73.27051873700,-3.75666378514,,
MYC607,-73.24855999350,-3.72887684158,,
MYC606,-73.24850174230,-3.72903045127,,
MYC361,-73.25119265750,-3.73043744538,,
MY231,-73.24952875260,-3.73201659840,,
MY230,-73.24945222210,-3.73202548819,,
MY259,-73.25063147530,-3.73202448682,,
MY208C,-73.24798819450,-3.73210394563,,
MY158,-73.24872620140,-3.73329905920,,
MY046,-73.24950306090,-3.73362615023,,
MY102,-73.24915839500,-3.73380631532,,
MYC744,-73.24810968430,-3.73382230302,,
MYC790,-73.24823719350,-3.73534173304,,
MYA013,-73.24908881660,-3.73683548466,,
MYA014,-73.24900749790,-3.73698904799,,
MYC640B,-73.24845781410,-3.72933781563,,
MY490B,-73.24971185460,-3.73539122241,,
TA536A,-73.26820058740,-3.75378637912,,
TA061,-73.26718814640,-3.75290439995,,
TA038,-73.26688650740,-3.75322934048,,
TA083,-73.26891390740,-3.75421903754,,
TA226,-73.26847159950,-3.75512243828,,
TA235,-73.26845515130,-3.75547507484,,
TA415,-73.26997133870,-3.75591628931,,
TA246,-73.26943251360,-3.75628182796,,
TA060B,-73.26716529220,-3.75287205973,,
TA393B,-73.26968647090,-3.75518984030,,
TAE065D,-73.26666342070,-3.75611725818,,
MY453A1,-73.25055276600,-3.73372412353,,
TAE370,-73.26688408710,-3.75462097603,,
GPS058,-73.26005273760,-3.74435953610,,
LC651,-73.27921915250,-3.77210290927,,
MY223A,-73.24896270340,-3.73212937215,,
FST0748_Tumbes_2006,-80.71694243350,-1.07423703040,,
SER6269_La_Libertad_2007,-80.77655615530,-2.18702650451,,
FSL3676_Yurimaguas_2008,-74.75557025070,-5.70423609235,,
FSL3686_Yurimaguas_2008,-74.69595652890,-5.70423609235,,
FSL3775_Yurimaguas_2008,-74.81518397250,-5.74397857356,,
FST1517_Tumbes_2008,-80.73681367410,-1.11397951162,,
FST1431_Tumbes_2008,-80.63745747100,-1.09410827101,,
FST1425_Tumbes_2008,-80.73681367410,-0.99475206796,,
FSP1414_Piura_2008,-80.71694243350,-1.65050300807,,
FSP1412_Piura_2008,-80.75668491470,-1.71011672989,,
FSL3558_Yurimaguas_2008,-74.77544149130,-5.76384981417,,
OBT6889_Lima_2009,-80.99513980200,-5.96256222027,,
OBT6893_Lima_2009,-80.93552608020,-6.06191842331,,
39504_Venezuela_2007,-72.19770552910,8.20788577376,,
OBS8766_ECU_2000,-77.04782467390,2.01584331341,,
OBT1158_Tumbes_2000,-80.69266088950,-1.17338837529,,
AY618990_Thai,100.39073089700,6.77412354615,,
AY618991_Thai,100.39073089700,7.03169360189,,
