strain_name,latitude,longitude
A1_STO-CGN18333,19.0833,-98.6833
A1_PNT-CGN17745,20.6666,-103.3333
A1_ PNT-CGN17740,20.6,-100.3833
A1_Rpiblb3,19.7,-103.5166
A1_DPH-CGN17688,19.7,-103.5166
A1_PTT-CGN23074,15.7666,-91.5
A1_BLB-PI545711,17.55,-99.05
A1_BLB-CGN17690,19.8333,-101.7166
A1_BLB-CGN17687,19.35,-99.2
A1_HJT-CGN22370,25.4166,-101
A1_HJT-CGN18345,24.8666,-100.2166
A1_PNT-CGN17742,21.1,-101.7
A1_ST0-CGN18348,19.5833,-99.0666
A2_BLB-GLKS31741,19.25,-98.88333
A2_BLB-CGN22698,19.1833,-98.2166
A2_BLB-CGN23010,19.2167,-98.8
A2_BLB-CGN960626,19.35,-99.2
A2_BLB-CGN962577,19.25,-98.88333
A2_BLB-PI275190,19.0666667,-98.3
A2_BLB-PI310960,17.81667,-98.133333
A2_BLB-PI347757,19.51667,-100.25
A2_BLB-PI498224,21.21667,-99.03333
A2_BLB-PI498225,19.4,-100.33
A2_BLB-PI545711,17.55,-99.05
A2_BLB-PI545751,20.98333,-103.1667
A2_BLB-CGN176888,19.7,-103.5166
A2_ DPH-PI253210,19.0,-99.1
A2_PTT-CGN23074,15.7666,-91.5
A3_BLB-PI590930,20.26667,-102.93333
A4_DPH-CGN17688,19.7,-103.5166
A5_PTT-CGN17689,19.35,-99.2
A6_DPH-CGN17688,19.7,-103.5166
A7_BLB-CGN962577,19.25,-98.88333
A8_PTT-PI275200,15.1666,-91.5166
B1_PTT-CGN23074,15.7666,-91.5
B2_BLB-PI604065,15.1667,-90.28333
B2_PTT-CGN21364,15.2166,-90.3
B2_PTT-CGN21363,15.15,-90.3
B4_PTT-CGN22732,15.3166,-91.5166
B5_PTT-CGN22732,15.3166,-91.5166
B6_PTT-CGN23075,15.3166,-91.55
B7_PTT-CGN23074,15.7666,-91.5
B8_PTT-CGN21363,15.15,-90.3
C1_STO-PI205522,19.1166,-98.7666
C2_BST-CPC3822,26.1,-104.8
C2_BST-PI320265,29.1333,-106.0833
C3_BST-PI320265,29.1333,-106.0833
C4_NYR-PI545825,21.6,-102.9
