strain_name,latitude,longitude,date
EPI100438,24,109,2004-01-01
EPI100472,28.15,113.63333,2005-01-01
EPI100474,28.15,113.63333,2005-01-01
EPI100476,28.15,113.63333,2005-01-01
EPI107845,35,105,2006-01-01
EPI152396,43.06451,141.3466,2008-01-01
EPI152748,43.06451,141.3466,2008-01-01
EPI161548,39.71667,140.11667,2008-01-01
EPI164582,40.82111,140.75111,2008-01-01
EPI164590,40.82111,140.75111,2008-01-01
EPI167842,22.28552,114.15769,2006-01-01
EPI167890,22.28552,114.15769,2007-01-01
EPI167969,22.28552,114.15769,2007-01-01
EPI167984,22.28552,114.15769,2007-01-01
EPI167992,22.28552,114.15769,2007-01-01
EPI168000,22.28552,114.15769,2007-01-01
EPI168008,22.28552,114.15769,2007-01-01
EPI168016,22.28552,114.15769,2007-01-01
EPI168032,22.28552,114.15769,2008-01-01
EPI168040,22.28552,114.15769,2008-01-01
EPI168048,22.28552,114.15769,2008-01-01
EPI168056,22.28552,114.15769,2008-01-01
EPI173067,60,100,2008-04-08
EPI176348,24,109,2009-01-24
EPI180960,18,105,2008-01-01
EPI180961,18,105,2008-01-01
EPI180962,18,105,2008-01-01
EPI219331,22.28552,114.15769,2009-01-01
EPI219333,22.28552,114.15769,2009-01-01
EPI219335,22.28552,114.15769,2009-01-01
EPI219381,46,105,2009-01-01
EPI219386,46,105,2009-01-01
EPI219391,46,105,2009-01-01
EPI220271,22.28552,114.15769,2008-01-01
EPI220304,35,105,2008-11-01
EPI220345,60,100,2008-04-10
EPI220391,35,105,2008-11-01
EPI220522,35,105,2008-02-01
EPI220538,35,105,2008-03-01
EPI220563,22.28552,114.15769,2008-01-01
EPI221580,22.28552,114.15769,2007-01-01
EPI221744,35,105,2007-10-01
EPI221897,35,105,2007-10-01
EPI221982,35,105,2007-10-31
EPI222026,35,105,2007-12-01
EPI222034,35,105,2007-12-01
EPI222465,35,105,2007-12-04
EPI222468,35,105,2007-12-03
EPI222476,35,105,2007-12-05
EPI222484,35,105,2007-12-02
EPI222502,22.28552,114.15769,2007-01-01
EPI246276,37,127.5,2008-04-21
EPI246277,37,127.5,2008-04-06
EPI246278,37,127.5,2008-04-01
EPI246279,37,127.5,2008-04-22
EPI246280,37,127.5,2008-04-28
EPI246281,37,127.5,2008-04-09
EPI254278,22.28552,114.15769,2009-01-01
EPI254280,22.28552,114.15769,2009-01-01
EPI259006,36,96,2009-05-15
EPI267032,31,112, 2010-06-01
EPI267930,46,105,2010-01-01
EPI267938,46,105,2010-01-01
EPI269982,46,105,2010-01-01
EPI269984,46,105,2010-01-01
AB521999,49.0212,101.1137,2009-08-01
AB523767,49.0212,101.1137,2009-08-01
AB523366,49.0212,101.1137,2009-08-01
GQ386150,50.8434,92.9852,2009-06-11
GQ338084,50.8434,92.9852,2009-06-11
AB522001,49.0212,101.1137,2009-08-01
AB523775,49.0212,101.1137,2009-08-01
GQ338087,50.8434,92.9852,2009-06-11
GQ386142,50.8434,92.9852,2009-06-11
AB523759,49.0212,101.1137,2009-08-01
AB523368,49.0212,101.1137,2009-08-01
