strain_name,latitude,longitude,date
taxid381534,50,-86,2005
taxid381529,50,-86,2005
taxid496427,50,-86,2007
taxid358577,50,-86,2003
taxid381530,55,-115,2005
taxid381531,55,-125,2005
taxid381532,55,-97,2005
taxid381533,50,-86,2005
taxid443179,24,109,2006
taxid568225,31.2,121.44,2007
taxid301962,,,2003
taxid538543,37,127.5,2004
taxid538547,37,127.5,2005
taxid205005,37,127.5,2002
taxid388536,,,2005
taxid388537,,,2005
taxid481465,,,2005
taxid538542,37,127.5,2006
taxid538555,37,127.5,2004
taxid538556,37,127.5,2005
taxid538557,37,127.5,2005
taxid538558,37,127.5,2005
taxid538559,37,127.5,2006
taxid538560,37,127.5,2006
taxid538561,37,127.5,2006
taxid402055,37,127.5,2006
taxid402056,37,127.5,2006
taxid497380,37,127.5,2004
taxid538544,37,127.5,2005
taxid538545,37,127.5,2004
taxid538546,37,127.5,2005
taxid538548,37,127.5,2006
taxid538549,37,127.5,2007
taxid538550,37,127.5,2007
taxid538551,37,127.5,2007
taxid538553,37,127.5,2007
taxid538554,37,127.5,2007
taxid574548,37,127.5,2008
taxid533025,,,unknown
taxid165420,,,1999
taxid222774,35.5,-80,2001
taxid301961,,,2003
taxid442958,40,-89,2004
taxid526549,35.50 ,-80,2005
taxid533026,40,-80.83 ,2004
taxid539947,45,-100,2007
taxid539948,45,-100,2007
taxid539949,45,-100,2007
taxid542945,39,35,2005
taxid547366,,,2007
taxid157642,45,-90,1998
taxid398800,42.93,-93,2005
taxid641501,37,-119,2009
taxid641807,37,-119,2009
taxid641808,37,-119,2009
taxid641809,37,-119,2009
taxid641811,30,-100,2009
taxid515581,40,-80.83 ,2007
taxid515582,40,-80.83 ,2004
taxid515583,40,-80.83 ,2006
taxid556272,40,-80.83 ,2007
taxid569203,46,-94,2007
taxid569204,46,-94,2007
taxid569205,40,-89,2007
taxid569206,46,-94,2006
taxid128982,40,-86,1999
taxid177117,,,2000
taxid177118,,,2000
taxid177119,,,1999
taxid177121,,,2001
taxid177122,,,2001
taxid177123,,,2001
taxid177124,,,2001
taxid177125,,,2001
taxid177126,,,2000
taxid177127,,,2001
taxid177128,,,2000
taxid177129,,,2000
taxid177130,,,2001
taxid177131,,,2000
taxid177132,,,2001
taxid177133,,,2000
taxid177134,,,2001
taxid177135,,,2001
taxid177136,,,2001
taxid177137,,,2001
taxid177138,,,2001
taxid177139,,,2001
taxid177140,,,2001
taxid177188,,,2000
taxid187161,40,-80.83 ,2001
taxid187162,35.50 ,-80,2001
taxid187163,35.50 ,-80,2001
taxid187164,46,-94,2000
taxid187166,40,-86,2000
taxid187167,40,-89,2001
taxid187168,40,-89,2001
taxid187171,42.93,-93,2001
taxid489926,38,-98,2006
taxid489927,38,-98,2006
taxid345296,44,-85,2004
taxid345297,40,-86,2004
taxid345582,46,-94,2004
taxid101752,,,1998
taxid133773,42.93,-93,1999
taxid133774,42.93,-93,1999
taxid133775,46,-94,1999
taxid133776,41.5,-100,1998
taxid136469,,,1999
taxid136470,,,1999
taxid136471,,,1999
taxid136472,,,1999
taxid136473,,,1999
taxid136474,,,1999
taxid136487,,,1998
taxid442957,35.50 ,-80,2003
taxid569227,46,-94,2006
taxid569228,46,-94,2007
taxid569230,46,-94,2007
taxid569231,46,-94,2005
taxid101751,,,1998
