strain_name,latitude,longitude,date
taxid284211,22.25,114.18,2004-01-01
taxid336232,30.90,101.04,2005-01-01
taxid336233,30.90,101.04,2005-01-01
taxid336234,30.90,101.04,2005-01-01
taxid336235,30.90,101.04,2005-01-01
taxid336236,30.90,101.04,2005-01-01
taxid336237,30.90,101.04,2005-01-01
taxid336238,30.90,101.04,2005-01-01
taxid336239,30.90,101.04,2005-01-01
taxid336240,30.90,101.04,2005-01-01
taxid336241,30.90,101.04,2005-01-01
taxid336242,30.90,101.04,2005-01-01
taxid336243,30.90,101.04,2005-01-01
taxid344595,46.00,105.00,2005-01-01
taxid344596,46.00,105.00,2005-01-01
taxid345295,30.90,101.04,2005-01-01
taxid353252,55.04,82.93,2005-01-01
taxid353253,55.04,82.93,2005-01-01
taxid363744,55.11,43.16,2005-01-01
taxid365068,26.55,117.84,2005-01-01
taxid365069,26.55,117.84,2005-01-01
taxid365091,24.00,109.00,2005-01-01
taxid365092,24.00,109.00,2005-01-01
taxid365094,23.12,113.25,2005-01-01
taxid365108,28.97,117.92,2005-01-01
taxid367062,51.49,92.53,2005-01-01
taxid368859,51.49,92.53,2005-01-01
taxid369437,51.49,92.53,2005-01-01
taxid369438,51.49,92.53,2005-01-01
taxid370832,51.49,92.53,2005-01-01
taxid370848,51.49,92.53,2005-01-01
taxid372483,51.49,92.53,2005-01-01
taxid373035,16.00,8.00,2006-01-01
taxid373132,51.49,92.53,2005-01-01
taxid373513,42.83,12.83,2006-01-01
taxid374074,51.49,92.53,2005-01-01
taxid374595,51.49,92.53,2005-01-01
taxid375457,39.00,35.00,2005-01-01
taxid375753,32.00,53.00,2006-01-01
taxid376709,42.83,12.83,2006-01-01
taxid376721,55.11,43.16,2005-01-01
taxid376722,55.11,43.16,2005-01-01
taxid378547,51.50,10.50,2006-01-01
taxid385215,16.00,8.00,2006-01-01
taxid385216,16.00,8.00,2006-01-01
taxid385217,16.00,8.00,2006-01-01
taxid385218,16.00,8.00,2006-01-01
taxid385219,16.00,8.00,2006-01-01
taxid385220,16.00,8.00,2006-01-01
taxid386438,51.50,10.50,2006-01-01
taxid387904,16.00,8.00,2006-01-01
taxid388110,33.00,65.00,2006-01-01
taxid391628,46.00,105.00,2006-01-01
taxid391955,45.00,34.00,2005-01-01
taxid392001,30.90,101.04,2006-01-01
taxid392002,30.90,101.04,2006-01-01
taxid392003,30.90,101.04,2006-01-01
taxid394194,56.65,71.85,2006-01-01
taxid394195,56.65,71.85,2006-01-01
taxid394327,31.50,34.75,2006-01-01
taxid394329,31.50,34.75,2006-01-01
taxid395335,27.00,30.00,2006-01-01
taxid395337,15.00,30.00,2006-01-01
taxid395338,15.00,30.00,2006-01-01
