strain_name,latitude,longitude,date
AB037266,25.039868,121.511879,1998-07-08
AB037267,25.039868,121.511879,1986-07-08
AB037268,25.039868,121.511879,1986-07-08
AB046739,25.039868,121.511879,1998-07-08
AB046740,25.039868,121.511879,1998-07-08
AB051301,35.1814,136.9064,1973-07-08
AB051302,42.694454,23.333102,1975-07-08
AB051303,47.507023,19.045591,1978-07-08
AB051304,25.039868,121.511879,1973-07-08
AB051309,25.039868,121.511879,1998-07-08
AB051313,25.039868,121.511879,1998-07-08
AB051315,25.039868,121.511879,1998-07-08
AB051322,35.4436,139.638,1997-07-08
AB051323,35.4436,139.638,1997-07-08
AB051324,35.4436,139.638,1997-07-08
AB051328,35.4436,139.638,1997-07-08
AB051329,35.4436,139.638,1997-07-08
AB051331,3.1328934,101.696,1997-07-08
AB051332,3.1328934,101.696,1997-07-08
AB051333,3.1328934,101.696,1997-07-08
AB051335,3.1328934,101.696,1997-07-08
AB053289,35.1814,136.9064,1989-07-08
AB053290,35.1814,136.9064,1970-07-08
AB081342,35.4436,139.638,1982-07-08
AB081343,35.4436,139.638,1983-07-08
AB081344,35.4436,139.638,1983-07-08
AB081345,35.4436,139.638,1983-07-08
AB081346,35.4436,139.638,1983-07-08
AB081347,35.4436,139.638,1984-07-08
AB081364,35.4436,139.638,1988-07-08
AB081367,35.4436,139.638,1990-07-08
AB081378,35.4436,139.638,1997-07-08
AB081379,35.4436,139.638,1997-07-08
AB081380,35.4436,139.638,1997-07-08
AB081381,35.4436,139.638,1997-07-08
AB081385,35.4436,139.638,2000-07-08
AB081386,35.4436,139.638,2000-07-08
AB081388,35.4436,139.638,2000-07-08
AB081389,35.4436,139.638,2000-07-08
AB081390,35.4436,139.638,2000-07-08
AB081391,35.4436,139.638,2000-07-08
AB081392,35.4436,139.638,2000-07-08
AB081393,35.4436,139.638,2000-07-08
AB081394,33.8439,132.7565,1973-07-08
AB081395,33.8439,132.7565,1973-07-08
AB081396,33.8439,132.7565,1973-07-08
AB081397,33.8439,132.7565,1978-07-08
AB081398,33.8439,132.7565,1978-07-08
AB081399,33.8439,132.7565,1978-07-08
AB081401,33.8439,132.7565,1978-07-08
AB162762,35.4436,139.638,2003-07-08
AB162763,35.4436,139.638,2003-07-08
AB162764,35.4436,139.638,2003-07-08
AB183005,34.69,135.1955,2000-07-08
AB183008,34.69,135.1955,2000-07-08
AB204852,38.897159,-77.036207,1970-07-08
AB204853,38.897159,-77.036207,1970-07-08
AB247285,37.75,140.4668,1983-07-08
AB247286,37.75,140.4668,1984-07-08
AB247287,37.75,140.4668,1985-07-08
AB247288,37.75,140.4668,1993-07-08
AB247289,37.75,140.4668,1989-07-08
AB247290,37.75,140.4668,1996-07-08
AB247291,37.75,140.4668,2003-07-08
AB247292,37.75,140.4668,2000-07-08
AB247293,37.75,140.4668,2000-07-08
AB247294,37.75,140.4668,2003-07-08
AB247295,37.75,140.4668,2003-07-08
AB247296,37.75,140.4668,2003-07-08
AB282823,34.69,135.1955,2003-07-08
AB286954,35.8617,139.6455,2003-07-08
AB469182,3.1328934,101.696,1997-07-08
AB482183,35.1814,136.9064,1973-07-08
