strain_name,latitude,longitude,date
AB037266,25.039868,121.511879,1998-07-08
AB046739,25.039868,121.511879,1998-07-08
AB046740,25.039868,121.511879,1998-07-08
AB051309,25.039868,121.511879,1998-07-08
AB051313,25.039868,121.511879,1998-07-08
AB051315,25.039868,121.511879,1998-07-08
AB051322,35.4436,139.638,1997-07-08
AB051323,35.4436,139.638,1997-07-08
AB051328,35.4436,139.638,1997-07-08
AB081378,35.4436,139.638,1997-07-08
AB081379,35.4436,139.638,1997-07-08
AB081385,35.4436,139.638,2000-07-08
AB081386,35.4436,139.638,2000-07-08
AB081388,35.4436,139.638,2000-07-08
AB081389,35.4436,139.638,2000-07-08
AB081390,35.4436,139.638,2000-07-08
AB081391,35.4436,139.638,2000-07-08
AB081392,35.4436,139.638,2000-07-08
AB081393,35.4436,139.638,2000-07-08
AB183005,34.69,135.1955,2000-07-08
AB183008,34.69,135.1955,2000-07-08
AB247291,37.75,140.4668,2003-07-08
AB247292,37.75,140.4668,2000-07-08
AB247293,37.75,140.4668,2000-07-08
AB550336,35.4436,139.638,1997-07-08
AB550337,35.4436,139.638,1997-07-08
AF251359,1.2891639,103.8505,1997-07-08
AJ586873,3.1328934,101.696,1997-07-08
AY125989,1.2891639,103.8505,2000-07-08
AY125990,1.2891639,103.8505,2000-07-08
AY125991,1.2891639,103.8505,2000-07-08
AY125992,1.2891639,103.8505,2000-07-08
AY125993,1.2891639,103.8505,2001-07-08
AY125994,1.2891639,103.8505,2001-07-08
AY126001,3.1328934,101.696,2000-07-08
AY126002,3.1328934,101.696,2000-07-08
AY126004,3.1328934,101.696,2000-07-08
AY126005,3.1328934,101.696,2000-07-08
AY126006,3.1328934,101.696,2000-07-08
AY817059,25.039868,121.511879,2000-07-08
AY817060,25.039868,121.511879,2001-07-08
AY817063,25.039868,121.511879,1999-07-08
AY817064,25.039868,121.511879,2000-07-08
AY817066,25.039868,121.511879,2001-07-08
AY817067,25.039868,121.511879,2001-07-08
AY817068,25.039868,121.511879,2000-07-08
AY817073,25.039868,121.511879,2000-07-08
AY817074,25.039868,121.511879,2001-07-08
AY817075,25.039868,121.511879,2001-07-08
AY817076,25.039868,121.511879,2000-07-08
AY817077,25.039868,121.511879,2002-07-08
AY817078,25.039868,121.511879,2001-07-08
AY817079,25.039868,121.511879,2002-07-08
AY817080,25.039868,121.511879,2001-07-08
AY817082,25.039868,121.511879,2001-07-08
DQ008988,25.039868,121.511879,2003-07-08
DQ008989,25.039868,121.511879,2003-07-08
DQ008990,25.039868,121.511879,2003-07-08
DQ008996,25.039868,121.511879,2003-07-08
DQ008998,25.039868,121.511879,2003-07-08
DQ341365,3.1328934,101.696,2001-07-08
DQ341366,3.1328934,101.696,2000-07-08
EF373575,25.039868,121.511879,2002-07-08
EU925806,3.1328934,101.696,2001-07-08
FJ357375,25.039868,121.511879,1999-07-08
FJ357376,25.039868,121.511879,2001-07-08
FJ357377,25.039868,121.511879,2000-07-08
U05876,-33.926207,18.419341,1987-07-08
