strain_name,latitude,longitude,date
AB204852,38.897159,-77.036207,1970-07-08
AB204853,38.897159,-77.036207,1970-07-08
AB469182,3.1328934,101.696,1997-07-08
AB482183,35.1814,136.9064,1973-07-08
AB550332,35.0178,135.8546,1997-07-08
AB550333,35.0178,135.8546,1997-07-08
AB550334,3.1328934,101.696,1997-07-08
AB550335,3.1328934,101.696,1997-07-08
AB550336,35.4436,139.6380,1997-07-08
AB550337,35.4436,139.6380,1997-07-08
AB550338,38.2402,140.3625,1975-07-08
AB550339,38.2402,140.3625,1975-07-08
AB550340,3.1328934,101.696,1997-07-08
AB550341,3.1328934,101.696,1997-07-08
AB575911,52.367935,4.900364,1966-07-08
AB575912,52.367935,4.900364,1966-07-08
AB575913,52.367935,4.900364,1971-07-08
AB575914,52.367935,4.900364,1971-07-08
AB575915,52.367935,4.900364,1994-07-08
AB575916,52.367935,4.900364,1976-07-08
AB575917,52.367935,4.900364,1977-07-08
AB575918,52.367935,4.900364,1978-07-08
AB575923,52.367935,4.900364,1983-07-08
AB575927,52.367935,4.900364,1986-07-08
AB575928,52.367935,4.900364,1986-07-08
AB575935,52.367935,4.900364,1991-07-08
AB575936,52.367935,4.900364,1991-07-08
AB575937,52.367935,4.900364,2001-07-08
AB575938,52.367935,4.900364,2010-07-08
AB575939,52.367935,4.900364,2000-07-08
AB575941,52.367935,4.900364,2007-07-08
AB575942,52.367935,4.900364,2007-07-08
AB575948,52.367935,4.900364,2010-07-08
AF119795,25.039868,121.511879,1998-07-08
AF119796,25.039868,121.511879,1998-07-08
AF136379,25.039868,121.511879,1998-07-08
AF176044,25.039868,121.511879,1998-07-08
AF302996,39.908222,116.391027,1998-07-08
AF304457,25.039868,121.511879,1998-07-08
AF304458,25.039868,121.511879,1998-07-08
AF304459,25.039868,121.511879,1998-07-08
AJ586873,3.1328934,101.696,1997-07-08
AY465356,39.908222,116.391027,2003-07-08
DQ133459,25.039868,121.511879,2004-07-08
DQ341354,1.2891639,103.8505,1998-07-08
DQ341355,37.531084,126.91583,2000-07-08
DQ341356,37.531084,126.91583,2000-07-08
DQ341357,-35.308236,149.12515,1999-07-08
DQ341358,3.1328934,101.696,2000-07-08
DQ341359,3.1328934,101.696,1998-07-08
DQ341360,3.1328934,101.696,2001-07-08
DQ341361,-35.308236,149.12515,2000-07-08
DQ341362,3.1328934,101.696,2003-07-08
DQ341363,3.1328934,101.696,2003-07-08
DQ341364,1.2891639,103.8505,2000-07-08
DQ341365,3.1328934,101.696,2001-07-08
DQ341366,3.1328934,101.696,2000-07-08
DQ341367,3.1328934,101.696,1997-07-08
DQ341368,3.1328934,101.696,1997-07-08
DQ381846,-35.308236,149.12515,1999-07-08
DQ452074,59.916569,10.728791,2003-07-08
EF063152,25.039868,121.511879,2006-07-08
EF373575,25.039868,121.511879,2002-07-08
EF373576,25.039868,121.511879,2004-07-08
EU131776,25.039868,121.511879,2002-07-08
EU364841,-35.308236,149.12515,1999-07-08
EU376004,-35.308236,149.12515,1999-07-08
EU376005,-35.308236,149.12515,1999-07-08
EU527983,25.039868,121.511879,2007-07-08
EU527985,25.039868,121.511879,2007-07-08
EU703812,39.908222,116.391027,2008-07-08
EU703813,39.908222,116.391027,2008-04-08
EU703814,39.908222,116.391027,2008-07-08
EU812515,39.908222,116.391027,2008-05-08
EU864507,39.908222,116.391027,2008-07-08
FJ158600,39.908222,116.391027,2008-07-08
FJ158601,39.908222,116.391027,2008-07-08
FJ172159,1.2891639,103.8505,2008-07-08
FJ194964,39.908222,116.391027,2008-05-08
FJ194965,39.908222,116.391027,2008-05-08
FJ357373,25.039868,121.511879,2004-07-08
FJ357374,25.039868,121.511879,2005-07-08
FJ357375,25.039868,121.511879,1999-07-08
FJ357376,25.039868,121.511879,2001-07-08
FJ357377,25.039868,121.511879,2000-07-08
FJ357378,25.039868,121.511879,2003-07-08
FJ357379,25.039868,121.511879,1986-07-08
FJ357380,25.039868,121.511879,1986-07-08
FJ357381,25.039868,121.511879,1986-07-08
FJ357382,25.039868,121.511879,1986-07-08
FJ357383,25.039868,121.511879,1986-07-08
FJ357384,25.039868,121.511879,1986-07-08
FJ357385,25.039868,121.511879,2008-07-08
FJ360544,39.908222,116.391027,2008-05-08
FJ360545,39.908222,116.391027,2008-05-08
FJ360546,39.908222,116.391027,2008-05-08
FJ439769,39.908222,116.391027,2008-05-08
FJ461781,1.2891639,103.8505,2008-07-08
FJ606447,39.908222,116.391027,2008-07-08
FJ606448,39.908222,116.391027,2008-07-08
FJ606449,39.908222,116.391027,2008-07-08
FJ606450,39.908222,116.391027,2008-06-08
FJ607334,39.908222,116.391027,2008-05-08
FJ607335,39.908222,116.391027,2008-05-08
FJ607336,39.908222,116.391027,2008-05-08
FJ607337,39.908222,116.391027,2008-05-08
FJ607338,39.908222,116.391027,2008-05-08
FJ713137,39.908222,116.391027,2009-07-08
FJ828519,39.908222,116.391027,2008-07-08
GQ892830,39.908222,116.391027,2008-04-08
GQ994988,39.908222,116.391027,2009-04-08
GQ994989,39.908222,116.391027,2009-04-08
GQ994990,39.908222,116.391027,2009-04-08
GQ994991,39.908222,116.391027,2009-04-08
GQ994992,39.908222,116.391027,2009-04-08
GU196833,39.908222,116.391027,2009-04-08
GU350629,39.908222,116.391027,2008-05-08
GU366191,39.908222,116.391027,2008-05-08
GU396280,39.908222,116.391027,2009-07-08
GU434678,39.908222,116.391027,2009-07-08
GU459070,39.908222,116.391027,2008-07-08
GU459071,39.908222,116.391027,2008-07-08
HM002484,39.908222,116.391027,2008-05-07
HM002485,39.908222,116.391027,2008-05-25
HM002486,39.908222,116.391027,2008-05-30
HM002487,39.908222,116.391027,2008-07-31
HM002488,39.908222,116.391027,2009-04-10
HM002489,39.908222,116.391027,2009-05-05
HM003207,39.908222,116.391027,2008-07-08
HM053669,39.908222,116.391027,2008-06-28
HM053670,39.908222,116.391027,2009-04-30
HM053671,39.908222,116.391027,2009-08-12
HQ129932,39.908222,116.391027,2006-07-08
HQ188292,39.908222,116.391027,2008-05-08
HQ325852,39.908222,116.391027,2010-08-20
HQ407557,39.908222,116.391027,2010-07-08
HQ426649,39.908222,116.391027,2010-07-08
U22521,38.897159,-77.036207,1970-07-08
U22522,38.897159,-77.036207,1987-07-08
