strain_name,lat,long,date
taxid649634,22.25,114.18,2004-09-14
EPI176470,35.3732921,-119.0187125,2009-04-01
EPI176499,35.3732921,-119.0187125,2009-04-16
EPI176504,35.3732921,-119.0187125,2009-04-09
EPI176514,30.267153,-97.7430608,2009-04-14
EPI176515,30.267153,-97.7430608,2009-04-15
EPI176587,23,-102,2009-04-14
EPI176604,23,-102,2009-04-19
EPI176620,35.3732921,-119.0187125,2009-04-09
EPI176634,35.3732921,-119.0187125,2009-04-08
EPI176640,40.7142691,-74.0059729,2009-05-01
EPI177276,-36.85,174.7833333,2009-04-25
EPI177282,35.3732921,-119.0187125,2009-04-09
EPI177283,23,-102,2009-04-14
EPI177285,23,-102,2009-04-14
EPI177288,23,-102,2009-04-02
EPI177290,51.9225,4.479167,2009-04-29
EPI177294,35.3732921,-119.0187125,2009-04-09
EPI177300,30.267153,-97.7430608,2009-04-14
EPI177315,23,-102,2009-04-07
EPI177335,23,-102,2009-04-02
EPI177347,23,-102,2009-04-14
EPI177350,23,-102,2009-04-14
EPI177357,23,-102,2009-04-19
EPI177363,23,-102,2009-04-19
EPI177367,40.2503398,-83.0001841,2009-04-24
EPI177378,40.7142691,-74.0059729,2009-04-01
EPI177385,40.7142691,-74.0059729,2009-04-01
EPI177391,40.7142691,-74.0059729,2009-04-01
EPI177400,40.7142691,-74.0059729,2009-04-01
EPI177408,40.7142691,-74.0059729,2009-04-01
EPI177415,40.7142691,-74.0059729,2009-04-24
EPI177419,40.7142691,-74.0059729,2009-04-24
EPI177424,30.267153,-97.7430608,2009-04-23
EPI177659,-36.85,174.7833333,2009-04-24
EPI177661,-36.85,174.7833333,2009-04-25
EPI177866,52.5,5.75,2009-05-01
EPI177948,56,10,2009-04-29
EPI178280,60,-96,2009-04-24
EPI178281,23,-102,2009-04-14
EPI178282,60,-96,2009-04-24
EPI178353,40.7142691,-74.0059729,2009-04-25
EPI178357,40.7142691,-74.0059729,2009-04-24
EPI178363,30.267153,-97.7430608,2009-04-25
EPI178368,30.267153,-97.7430608,2009-04-24
EPI178375,30.267153,-97.7430608,2009-04-25
EPI178383,35.3732921,-119.0187125,2009-04-25
EPI178391,40.0003166,-86.2502707,2009-04-22
EPI178397,34.5003037,-111.5009764,2009-04-22
EPI178402,44.2502852,-85.500333,2009-04-26
EPI178414,34.0004338,-81.000091,2009-04-26
EPI178419,34.5003037,-111.5009764,2009-04-26
EPI178425,39.1141708,-94.627457,2009-04-24
EPI178428,23,-102,2009-04-19
EPI178432,40.2503398,-83.0001841,2009-04-24
EPI178435,40.7142691,-74.0059729,2009-04-25
EPI178439,40.7142691,-74.0059729,2009-04-25
EPI178442,42.365647,-71.10832214,2009-04-26
EPI178445,42.365647,-71.10832214,2009-04-25
EPI178451,38.8338816,-104.8213634,2009-04-27
EPI178454,39.1141708,-94.627457,2009-04-24
