strain_name,latitude,longitude,date
taxid406339,-30,26,2004-01-01
taxid389222,-8.65,115.22,2004-01-01
taxid389223,-8.65,115.22,2005-01-01
taxid464597,-8.5167,115.0833,2005-01-01
taxid380809,-8.5,121,2004-01-01
taxid389226,-8.5,115.33,2005-01-01
taxid380801,-8.33,114.83,2004-01-01
taxid389224,-8.33,114.83,2005-01-01
taxid380800,-8.02,112.71,2005-01-01
taxid464508,-8.02,112.71,2006-01-01
taxid365126,-7.86,110.4,2005-01-01
taxid365125,-7.83,110.25,2004-01-01
taxid380802,-7.83,110.25,2005-01-01
taxid380803,-7.83,110.25,2004-01-01
taxid365124,-7.76,110.4,2004-01-01
taxid380870,-7.76,110.4,2004-01-01
taxid380807,-7.68,111.31,2005-01-01
taxid464563,-7.6333,110.3167,2005-01-01
taxid464540,-7.6167,111.55,2005-01-01
taxid464594,-7.6167,111.55,2005-01-01
taxid380866,-7.59,110.5,2004-01-01
taxid365123,-7.56,110.3,2003-01-01
taxid464619,-7.5,110,2006-01-01
taxid464565,-7.45,107.95,2005-01-01
taxid380816,-7.42,111.05,2003-01-01
taxid380810,-7.4,111.43,2004-01-01
taxid380867,-7.39,108.24,2004-01-01
taxid365122,-7.33,110.5,2005-01-01
taxid452941,-7.3167,108.3333,2006-01-01
taxid452946,-7.1667,106.533,2006-01-01
taxid380808,-6.99,111.81,2004-01-01
taxid380814,-6.84,111.79,2005-01-01
taxid452943,-6.8333,106.6833,2006-01-01
taxid452944,-6.8333,106.6833,2006-01-01
taxid452947,-6.7833,106.7833,2006-01-01
taxid476258,-6.7833,106.7833,2006-01-01
taxid380805,-6.67,112.4,2004-01-01
taxid380806,-6.67,112.4,2004-01-01
taxid381000,-6.67,112.4,2004-01-01
taxid380813,-6.57,107.39,2004-01-01
taxid452938,-6.5667,106.6167,2006-01-01
taxid452945,-6.5667,106.6167,2006-01-01
taxid380871,-6.48,109.27,2004-01-01
taxid452939,-6.4167,106.7,2006-01-01
taxid452940,-6.4167,106.7,2006-01-01
taxid464592,-6.3667,108.3333,2006-01-01
taxid380812,-6.32,108.23,2003-01-01
taxid451127,-6.2167,106.9667,2006-01-01
taxid464442,-6.2167,106.9667,2006-01-01
taxid464443,-6.2167,106.9667,2006-01-01
taxid464575,-6.2167,106.9667,2006-01-01
taxid464576,-6.2167,106.9667,2006-01-01
taxid464577,-6.2167,106.9667,2006-01-01
taxid464578,-6.2167,106.9667,2006-01-01
taxid464579,-6.2167,106.9667,2006-01-01
taxid464580,-6.2167,106.9667,2006-01-01
taxid464581,-6.2167,106.9667,2006-01-01
taxid464582,-6.2167,106.9667,2006-01-01
taxid464583,-6.2167,106.9667,2006-01-01
taxid464584,-6.2167,106.9667,2006-01-01
taxid451128,-6.1333,106.75,2006-01-01
taxid451129,-6.1333,106.75,2006-01-01
taxid451130,-6.1333,106.75,2006-01-01
taxid464613,-6.1333,106.75,2006-01-01
taxid464621,-6.1333,106.75,2006-01-01
taxid365127,-5.34,124.54,2005-01-01
taxid284179,-5,120,2003-01-01
taxid284180,-5,120,2004-01-01
taxid284181,-5,120,2004-01-01
taxid284182,-5,120,2003-01-01
taxid284183,-5,120,2003-01-01
taxid284200,-5,120,2004-01-01
taxid392752,-5,120,2003-01-01
taxid392753,-5,120,2005-01-01
taxid400788,-5,120,2005-01-01
